SCHOOL_YEAR,PUBLIC_OR_INDEPENDENT,SCHOOL_NUMBER,SCHOOL_NAME,SCHOOL_FACILITY_TYPE,SCHOOL_GRADE,SCHOOL_GRADE_HEADCOUNT,SCHOOL_TOTAL_HEADCOUNT
2011/2012,BC Public School,2727071,Alexis Creek Elementary/Secondary,Standard,6,Msk,66
2011/2012,BC Public School,2727071,Alexis Creek Elementary/Secondary,Standard,7,Msk,66
2011/2012,BC Public School,2727071,Alexis Creek Elementary/Secondary,Standard,8,Msk,66
2011/2012,BC Public School,2727071,Alexis Creek Elementary/Secondary,Standard,9,15,66
2011/2012,BC Public School,2727071,Alexis Creek Elementary/Secondary,Standard,10,Msk,66
2011/2012,BC Public School,2727071,Alexis Creek Elementary/Secondary,Standard,KF,Msk,66
2011/2012,BC Public School,2799060,Graduation Routes Other Ways,District Distance Ed,1,Msk,58
2011/2012,BC Public School,2799060,Graduation Routes Other Ways,District Distance Ed,2,Msk,58
2011/2012,BC Public School,2799060,Graduation Routes Other Ways,District Distance Ed,3,10,58
2011/2012,BC Public School,2799060,Graduation Routes Other Ways,District Distance Ed,4,Msk,58
2011/2012,BC Public School,2799060,Graduation Routes Other Ways,District Distance Ed,5,Msk,58
2011/2012,BC Public School,2799060,Graduation Routes Other Ways,District Distance Ed,6,Msk,58
2011/2012,BC Public School,2799060,Graduation Routes Other Ways,District Distance Ed,7,Msk,58
2011/2012,BC Public School,2799060,Graduation Routes Other Ways,District Distance Ed,8,Msk,58
2011/2012,BC Public School,2799060,Graduation Routes Other Ways,District Distance Ed,9,Msk,58
2011/2012,BC Public School,2799060,Graduation Routes Other Ways,District Distance Ed,10,Msk,58
2011/2012,BC Public School,2799060,Graduation Routes Other Ways,District Distance Ed,11,Msk,58
2011/2012,BC Public School,2799060,Graduation Routes Other Ways,District Distance Ed,12,Msk,58
2011/2012,BC Public School,2799060,Graduation Routes Other Ways,District Distance Ed,GRADUATED ADULT,Msk,58
2011/2012,BC Public School,2799060,Graduation Routes Other Ways,District Distance Ed,KF,Msk,58
2011/2012,BC Public School,2799094,Skyline Alternate School,Alternate,1,Msk,140
2011/2012,BC Public School,2799094,Skyline Alternate School,Alternate,8,Msk,140
2011/2012,BC Public School,2799094,Skyline Alternate School,Alternate,9,14,140
2011/2012,BC Public School,2799094,Skyline Alternate School,Alternate,10,63,140
2011/2012,BC Public School,2799094,Skyline Alternate School,Alternate,11,34,140
2011/2012,BC Public School,2799094,Skyline Alternate School,Alternate,12,20,140
2011/2012,BC Public School,2799181,PSO Outback Storefront,Alternate,10,Msk,16
2011/2012,BC Public School,2799181,PSO Outback Storefront,Alternate,11,Msk,16
2011/2012,BC Public School,2799181,PSO Outback Storefront,Alternate,12,Msk,16
2011/2012,BC Public School,2799181,PSO Outback Storefront,Alternate,SECONDARY,Msk,16
2011/2012,BC Public School,2828000,Continuing Ed SD 28,Continuing Ed,10,17,148
2011/2012,BC Public School,2828000,Continuing Ed SD 28,Continuing Ed,11,Msk,148
2011/2012,BC Public School,2828000,Continuing Ed SD 28,Continuing Ed,12,Msk,148
2011/2012,BC Public School,2828000,Continuing Ed SD 28,Continuing Ed,GRADUATED ADULT,41,148
2011/2012,BC Public School,2828000,Continuing Ed SD 28,Continuing Ed,SECONDARY,81,148
2011/2012,BC Public School,2828002,Wells Barkerville Elementary,Standard,1,Msk,18
2011/2012,BC Public School,2828002,Wells Barkerville Elementary,Standard,2,Msk,18
2011/2012,BC Public School,2828002,Wells Barkerville Elementary,Standard,3,Msk,18
2011/2012,BC Public School,2828002,Wells Barkerville Elementary,Standard,4,Msk,18
2011/2012,BC Public School,2828002,Wells Barkerville Elementary,Standard,6,Msk,18
2011/2012,BC Public School,2828002,Wells Barkerville Elementary,Standard,7,Msk,18
2011/2012,BC Public School,2828002,Wells Barkerville Elementary,Standard,KF,Msk,18
2011/2012,BC Public School,2828004,Quesnel Junior School,Standard,8,273,550
2011/2012,BC Public School,2828004,Quesnel Junior School,Standard,9,277,550
2011/2012,BC Public School,2828008,Kersley Elementary School,Standard,1,12,63
2011/2012,BC Public School,2828008,Kersley Elementary School,Standard,2,Msk,63
2011/2012,BC Public School,2828008,Kersley Elementary School,Standard,3,Msk,63
2011/2012,BC Public School,2828008,Kersley Elementary School,Standard,4,Msk,63
2011/2012,BC Public School,2828008,Kersley Elementary School,Standard,5,Msk,63
2011/2012,BC Public School,2828008,Kersley Elementary School,Standard,6,Msk,63
2011/2012,BC Public School,2828008,Kersley Elementary School,Standard,7,10,63
2011/2012,BC Public School,2828008,Kersley Elementary School,Standard,KF,Msk,63
2011/2012,BC Public School,2828012,Narcosli Elementary,Standard,1,Msk,13
2011/2012,BC Public School,2828012,Narcosli Elementary,Standard,3,Msk,13
2011/2012,BC Public School,2828012,Narcosli Elementary,Standard,4,Msk,13
2011/2012,BC Public School,2828012,Narcosli Elementary,Standard,6,Msk,13
2011/2012,BC Public School,2828012,Narcosli Elementary,Standard,7,Msk,13
2011/2012,BC Public School,2828012,Narcosli Elementary,Standard,KF,Msk,13
2011/2012,BC Public School,2828016,Red Bluff Lhtako Elementary,Standard,1,22,193
2011/2012,BC Public School,2828016,Red Bluff Lhtako Elementary,Standard,2,29,193
2011/2012,BC Public School,2828016,Red Bluff Lhtako Elementary,Standard,3,28,193
2011/2012,BC Public School,2828016,Red Bluff Lhtako Elementary,Standard,4,16,193
2011/2012,BC Public School,2828016,Red Bluff Lhtako Elementary,Standard,5,32,193
2011/2012,BC Public School,2828016,Red Bluff Lhtako Elementary,Standard,6,19,193
2011/2012,BC Public School,2828016,Red Bluff Lhtako Elementary,Standard,7,26,193
2011/2012,BC Public School,2828016,Red Bluff Lhtako Elementary,Standard,KF,21,193
2011/2012,BC Public School,2828019,Ecole Baker,Standard,1,35,235
2011/2012,BC Public School,2828019,Ecole Baker,Standard,2,36,235
2011/2012,BC Public School,2828019,Ecole Baker,Standard,3,16,235
2011/2012,BC Public School,2828019,Ecole Baker,Standard,4,22,235
2011/2012,BC Public School,2828019,Ecole Baker,Standard,5,21,235
2011/2012,BC Public School,2828019,Ecole Baker,Standard,6,25,235
2011/2012,BC Public School,2828019,Ecole Baker,Standard,7,37,235
2011/2012,BC Public School,2828019,Ecole Baker,Standard,KF,43,235
2011/2012,BC Public School,2828020,Bouchie Lake Elementary School,Standard,1,20,169
2011/2012,BC Public School,2828020,Bouchie Lake Elementary School,Standard,2,18,169
2011/2012,BC Public School,2828020,Bouchie Lake Elementary School,Standard,3,23,169
2011/2012,BC Public School,2828020,Bouchie Lake Elementary School,Standard,4,16,169
2011/2012,BC Public School,2828020,Bouchie Lake Elementary School,Standard,5,23,169
2011/2012,BC Public School,2828020,Bouchie Lake Elementary School,Standard,6,22,169
2011/2012,BC Public School,2828020,Bouchie Lake Elementary School,Standard,7,34,169
2011/2012,BC Public School,2828020,Bouchie Lake Elementary School,Standard,KF,13,169
2011/2012,BC Public School,2828021,Dragon Lake Elementary,Standard,1,29,206
2011/2012,BC Public School,2828021,Dragon Lake Elementary,Standard,2,23,206
2011/2012,BC Public School,2828021,Dragon Lake Elementary,Standard,3,30,206
2011/2012,BC Public School,2828021,Dragon Lake Elementary,Standard,4,23,206
2011/2012,BC Public School,2828021,Dragon Lake Elementary,Standard,5,32,206
2011/2012,BC Public School,2828021,Dragon Lake Elementary,Standard,6,20,206
2011/2012,BC Public School,2828021,Dragon Lake Elementary,Standard,7,36,206
2011/2012,BC Public School,2828021,Dragon Lake Elementary,Standard,KF,13,206
2011/2012,BC Public School,2828024,Carson Elementary School,Standard,1,14,164
2011/2012,BC Public School,2828024,Carson Elementary School,Standard,2,24,164
2011/2012,BC Public School,2828024,Carson Elementary School,Standard,3,14,164
2011/2012,BC Public School,2828024,Carson Elementary School,Standard,4,18,164
2011/2012,BC Public School,2828024,Carson Elementary School,Standard,5,28,164
2011/2012,BC Public School,2828024,Carson Elementary School,Standard,6,23,164
2011/2012,BC Public School,2828024,Carson Elementary School,Standard,7,21,164
2011/2012,BC Public School,2828024,Carson Elementary School,Standard,KF,22,164
2011/2012,BC Public School,2828032,Lakeview Elementary,Standard,1,23,196
2011/2012,BC Public School,2828032,Lakeview Elementary,Standard,2,25,196
2011/2012,BC Public School,2828032,Lakeview Elementary,Standard,3,22,196
2011/2012,BC Public School,2828032,Lakeview Elementary,Standard,4,24,196
2011/2012,BC Public School,2828032,Lakeview Elementary,Standard,5,17,196
2011/2012,BC Public School,2828032,Lakeview Elementary,Standard,6,29,196
2011/2012,BC Public School,2828032,Lakeview Elementary,Standard,7,27,196
2011/2012,BC Public School,2828032,Lakeview Elementary,Standard,KF,29,196
2011/2012,BC Public School,2828034,Correlieu Secondary School,Standard,10,317,920
2011/2012,BC Public School,2828034,Correlieu Secondary School,Standard,11,297,920
2011/2012,BC Public School,2828034,Correlieu Secondary School,Standard,12,306,920
2011/2012,BC Public School,2828036,Voyageur Elementary School,Standard,1,16,208
2011/2012,BC Public School,2828036,Voyageur Elementary School,Standard,2,27,208
2011/2012,BC Public School,2828036,Voyageur Elementary School,Standard,3,25,208
2011/2012,BC Public School,2828036,Voyageur Elementary School,Standard,4,24,208
2011/2012,BC Public School,2828036,Voyageur Elementary School,Standard,5,28,208
2011/2012,BC Public School,2828036,Voyageur Elementary School,Standard,6,22,208
2011/2012,BC Public School,2828036,Voyageur Elementary School,Standard,7,31,208
2011/2012,BC Public School,2828036,Voyageur Elementary School,Standard,KF,35,208
2011/2012,BC Public School,2828038,Parkland Elementary,Standard,1,10,78
2011/2012,BC Public School,2828038,Parkland Elementary,Standard,2,Msk,78
2011/2012,BC Public School,2828038,Parkland Elementary,Standard,3,10,78
2011/2012,BC Public School,2828038,Parkland Elementary,Standard,4,Msk,78
2011/2012,BC Public School,2828038,Parkland Elementary,Standard,5,13,78
2011/2012,BC Public School,2828038,Parkland Elementary,Standard,6,Msk,78
2011/2012,BC Public School,2828038,Parkland Elementary,Standard,7,15,78
2011/2012,BC Public School,2828038,Parkland Elementary,Standard,KF,Msk,78
2011/2012,BC Public School,2828039,Riverview Elementary,Standard,1,20,117
2011/2012,BC Public School,2828039,Riverview Elementary,Standard,2,22,117
2011/2012,BC Public School,2828039,Riverview Elementary,Standard,3,14,117
2011/2012,BC Public School,2828039,Riverview Elementary,Standard,4,10,117
2011/2012,BC Public School,2828039,Riverview Elementary,Standard,5,13,117
2011/2012,BC Public School,2828039,Riverview Elementary,Standard,6,10,117
2011/2012,BC Public School,2828039,Riverview Elementary,Standard,7,13,117
2011/2012,BC Public School,2828039,Riverview Elementary,Standard,KF,15,117
2011/2012,BC Public School,2828040,Barlow Creek Elementary,Standard,1,13,103
2011/2012,BC Public School,2828040,Barlow Creek Elementary,Standard,2,12,103
2011/2012,BC Public School,2828040,Barlow Creek Elementary,Standard,3,15,103
2011/2012,BC Public School,2828040,Barlow Creek Elementary,Standard,4,18,103
2011/2012,BC Public School,2828040,Barlow Creek Elementary,Standard,5,11,103
2011/2012,BC Public School,2828040,Barlow Creek Elementary,Standard,6,Msk,103
2011/2012,BC Public School,2828040,Barlow Creek Elementary,Standard,7,13,103
2011/2012,BC Public School,2828040,Barlow Creek Elementary,Standard,KF,13,103
2011/2012,BC Public School,2828041,Nazko Valley Elementary,Standard,1,Msk,25
2011/2012,BC Public School,2828041,Nazko Valley Elementary,Standard,2,Msk,25
2011/2012,BC Public School,2828041,Nazko Valley Elementary,Standard,3,Msk,25
2011/2012,BC Public School,2828041,Nazko Valley Elementary,Standard,4,Msk,25
2011/2012,BC Public School,2828041,Nazko Valley Elementary,Standard,6,Msk,25
2011/2012,BC Public School,2828041,Nazko Valley Elementary,Standard,7,Msk,25
2011/2012,BC Public School,2828041,Nazko Valley Elementary,Standard,KF,Msk,25
2011/2012,BC Public School,2899005,McNaughton Centre,Alternate,9,Msk,57
2011/2012,BC Public School,2899005,McNaughton Centre,Alternate,10,21,57
2011/2012,BC Public School,2899005,McNaughton Centre,Alternate,11,14,57
2011/2012,BC Public School,2899005,McNaughton Centre,Alternate,12,18,57
2011/2012,BC Public School,2899174,Quesnel Distributed Learning,District Distance Ed,1,Msk,33
2011/2012,BC Public School,2899174,Quesnel Distributed Learning,District Distance Ed,3,Msk,33
2011/2012,BC Public School,2899174,Quesnel Distributed Learning,District Distance Ed,5,Msk,33
2011/2012,BC Public School,2899174,Quesnel Distributed Learning,District Distance Ed,6,Msk,33
2011/2012,BC Public School,2899174,Quesnel Distributed Learning,District Distance Ed,7,Msk,33
2011/2012,BC Public School,2899174,Quesnel Distributed Learning,District Distance Ed,8,Msk,33
2011/2012,BC Public School,2899174,Quesnel Distributed Learning,District Distance Ed,9,Msk,33
2011/2012,BC Public School,2899174,Quesnel Distributed Learning,District Distance Ed,10,Msk,33
2011/2012,BC Public School,2899174,Quesnel Distributed Learning,District Distance Ed,11,Msk,33
2011/2012,BC Public School,2899174,Quesnel Distributed Learning,District Distance Ed,12,Msk,33
2011/2012,BC Public School,2899174,Quesnel Distributed Learning,District Distance Ed,KF,Msk,33
2011/2012,BC Public School,3333000,SD 33 Continuing Ed,Continuing Ed,10,Msk,169
2011/2012,BC Public School,3333000,SD 33 Continuing Ed,Continuing Ed,11,Msk,169
2011/2012,BC Public School,3333000,SD 33 Continuing Ed,Continuing Ed,12,Msk,169
2011/2012,BC Public School,3333000,SD 33 Continuing Ed,Continuing Ed,GRADUATED ADULT,29,169
2011/2012,BC Public School,3333000,SD 33 Continuing Ed,Continuing Ed,SECONDARY,131,169
2011/2012,BC Public School,3333001,Rosedale Elementary,Standard,1,23,173
2011/2012,BC Public School,3333001,Rosedale Elementary,Standard,2,21,173
2011/2012,BC Public School,3333001,Rosedale Elementary,Standard,3,24,173
2011/2012,BC Public School,3333001,Rosedale Elementary,Standard,4,25,173
2011/2012,BC Public School,3333001,Rosedale Elementary,Standard,5,31,173
2011/2012,BC Public School,3333001,Rosedale Elementary,Standard,6,20,173
2011/2012,BC Public School,3333001,Rosedale Elementary,Standard,KF,29,173
2011/2012,BC Public School,3333003,Strathcona Elementary,Standard,1,55,448
2011/2012,BC Public School,3333003,Strathcona Elementary,Standard,2,64,448
2011/2012,BC Public School,3333003,Strathcona Elementary,Standard,3,61,448
2011/2012,BC Public School,3333003,Strathcona Elementary,Standard,4,66,448
2011/2012,BC Public School,3333003,Strathcona Elementary,Standard,5,55,448
2011/2012,BC Public School,3333003,Strathcona Elementary,Standard,6,81,448
2011/2012,BC Public School,3333003,Strathcona Elementary,Standard,KF,66,448
2011/2012,BC Public School,3333004,Chilliwack Middle School,Standard,7,161,550
2011/2012,BC Public School,3333004,Chilliwack Middle School,Standard,8,178,550
2011/2012,BC Public School,3333004,Chilliwack Middle School,Standard,9,209,550
2011/2012,BC Public School,3333004,Chilliwack Middle School,Standard,SECONDARY,Msk,550
2011/2012,BC Public School,3333005,Sardis Elementary,Standard,1,60,472
2011/2012,BC Public School,3333005,Sardis Elementary,Standard,2,72,472
2011/2012,BC Public School,3333005,Sardis Elementary,Standard,3,68,472
2011/2012,BC Public School,3333005,Sardis Elementary,Standard,4,47,472
2011/2012,BC Public School,3333005,Sardis Elementary,Standard,5,66,472
2011/2012,BC Public School,3333005,Sardis Elementary,Standard,6,96,472
2011/2012,BC Public School,3333005,Sardis Elementary,Standard,KF,63,472
2011/2012,BC Public School,3333008,Chilliwack Central Elementary Community,Standard,1,33,213
2011/2012,BC Public School,3333008,Chilliwack Central Elementary Community,Standard,2,33,213
2011/2012,BC Public School,3333008,Chilliwack Central Elementary Community,Standard,3,35,213
2011/2012,BC Public School,3333008,Chilliwack Central Elementary Community,Standard,4,21,213
2011/2012,BC Public School,3333008,Chilliwack Central Elementary Community,Standard,5,37,213
2011/2012,BC Public School,3333008,Chilliwack Central Elementary Community,Standard,6,23,213
2011/2012,BC Public School,3333008,Chilliwack Central Elementary Community,Standard,KF,31,213
2011/2012,BC Public School,3333009,Cultus Lake Community School,Standard,1,19,142
2011/2012,BC Public School,3333009,Cultus Lake Community School,Standard,2,17,142
2011/2012,BC Public School,3333009,Cultus Lake Community School,Standard,3,20,142
2011/2012,BC Public School,3333009,Cultus Lake Community School,Standard,4,23,142
2011/2012,BC Public School,3333009,Cultus Lake Community School,Standard,5,20,142
2011/2012,BC Public School,3333009,Cultus Lake Community School,Standard,6,17,142
2011/2012,BC Public School,3333009,Cultus Lake Community School,Standard,KF,26,142
2011/2012,BC Public School,3333010,East Chilliwack Elementary,Standard,1,40,255
2011/2012,BC Public School,3333010,East Chilliwack Elementary,Standard,2,42,255
2011/2012,BC Public School,3333010,East Chilliwack Elementary,Standard,3,39,255
2011/2012,BC Public School,3333010,East Chilliwack Elementary,Standard,4,27,255
2011/2012,BC Public School,3333010,East Chilliwack Elementary,Standard,5,38,255
2011/2012,BC Public School,3333010,East Chilliwack Elementary,Standard,6,26,255
2011/2012,BC Public School,3333010,East Chilliwack Elementary,Standard,KF,43,255
2011/2012,BC Public School,3333011,Vedder Elementary,Standard,1,63,425
2011/2012,BC Public School,3333011,Vedder Elementary,Standard,2,70,425
2011/2012,BC Public School,3333011,Vedder Elementary,Standard,3,56,425
2011/2012,BC Public School,3333011,Vedder Elementary,Standard,4,59,425
2011/2012,BC Public School,3333011,Vedder Elementary,Standard,5,64,425
2011/2012,BC Public School,3333011,Vedder Elementary,Standard,6,47,425
2011/2012,BC Public School,3333011,Vedder Elementary,Standard,KF,66,425
2011/2012,BC Public School,3333012,Chilliwack Secondary,Standard,10,368,1054
2011/2012,BC Public School,3333012,Chilliwack Secondary,Standard,11,348,1054
2011/2012,BC Public School,3333012,Chilliwack Secondary,Standard,12,336,1054
2011/2012,BC Public School,3333012,Chilliwack Secondary,Standard,GRADUATED ADULT,Msk,1054
2011/2012,BC Public School,3333012,Chilliwack Secondary,Standard,SECONDARY,Msk,1054
2011/2012,BC Public School,3333013,Cheam Elementary,Standard,1,15,140
2011/2012,BC Public School,3333013,Cheam Elementary,Standard,2,25,140
2011/2012,BC Public School,3333013,Cheam Elementary,Standard,3,16,140
2011/2012,BC Public School,3333013,Cheam Elementary,Standard,4,21,140
2011/2012,BC Public School,3333013,Cheam Elementary,Standard,5,24,140
2011/2012,BC Public School,3333013,Cheam Elementary,Standard,6,12,140
2011/2012,BC Public School,3333013,Cheam Elementary,Standard,KF,27,140
2011/2012,BC Public School,3333015,Yarrow Community School,Standard,1,33,270
2011/2012,BC Public School,3333015,Yarrow Community School,Standard,2,40,270
2011/2012,BC Public School,3333015,Yarrow Community School,Standard,3,39,270
2011/2012,BC Public School,3333015,Yarrow Community School,Standard,4,36,270
2011/2012,BC Public School,3333015,Yarrow Community School,Standard,5,39,270
2011/2012,BC Public School,3333015,Yarrow Community School,Standard,6,35,270
2011/2012,BC Public School,3333015,Yarrow Community School,Standard,KF,48,270
2011/2012,BC Public School,3333016,Little Mountain Elementary,Standard,1,62,338
2011/2012,BC Public School,3333016,Little Mountain Elementary,Standard,2,49,338
2011/2012,BC Public School,3333016,Little Mountain Elementary,Standard,3,48,338
2011/2012,BC Public School,3333016,Little Mountain Elementary,Standard,4,46,338
2011/2012,BC Public School,3333016,Little Mountain Elementary,Standard,5,46,338
2011/2012,BC Public School,3333016,Little Mountain Elementary,Standard,6,36,338
2011/2012,BC Public School,3333016,Little Mountain Elementary,Standard,KF,51,338
2011/2012,BC Public School,3333017,Watson Elementary,Standard,1,61,374
2011/2012,BC Public School,3333017,Watson Elementary,Standard,2,64,374
2011/2012,BC Public School,3333017,Watson Elementary,Standard,3,50,374
2011/2012,BC Public School,3333017,Watson Elementary,Standard,4,47,374
2011/2012,BC Public School,3333017,Watson Elementary,Standard,5,55,374
2011/2012,BC Public School,3333017,Watson Elementary,Standard,6,45,374
2011/2012,BC Public School,3333017,Watson Elementary,Standard,KF,52,374
2011/2012,BC Public School,3333018,Sardis Secondary,Standard,10,478,1417
2011/2012,BC Public School,3333018,Sardis Secondary,Standard,11,438,1417
2011/2012,BC Public School,3333018,Sardis Secondary,Standard,12,479,1417
2011/2012,BC Public School,3333018,Sardis Secondary,Standard,GRADUATED ADULT,Msk,1417
2011/2012,BC Public School,3333018,Sardis Secondary,Standard,SECONDARY,17,1417
2011/2012,BC Public School,3333019,Bernard Elementary,Standard,1,40,277
2011/2012,BC Public School,3333019,Bernard Elementary,Standard,2,39,277
2011/2012,BC Public School,3333019,Bernard Elementary,Standard,3,42,277
2011/2012,BC Public School,3333019,Bernard Elementary,Standard,4,43,277
2011/2012,BC Public School,3333019,Bernard Elementary,Standard,5,30,277
2011/2012,BC Public School,3333019,Bernard Elementary,Standard,6,41,277
2011/2012,BC Public School,3333019,Bernard Elementary,Standard,KF,42,277
2011/2012,BC Public School,3333021,Chance Alternate,Alternate,7,Msk,87
2011/2012,BC Public School,3333021,Chance Alternate,Alternate,ELEMENTARY,85,87
2011/2012,BC Public School,3333023,Rosedale Traditional Middle School,Standard,7,87,264
2011/2012,BC Public School,3333023,Rosedale Traditional Middle School,Standard,8,89,264
2011/2012,BC Public School,3333023,Rosedale Traditional Middle School,Standard,9,88,264
2011/2012,BC Public School,3333024,Robertson Elementary,Standard,1,42,259
2011/2012,BC Public School,3333024,Robertson Elementary,Standard,2,35,259
2011/2012,BC Public School,3333024,Robertson Elementary,Standard,3,42,259
2011/2012,BC Public School,3333024,Robertson Elementary,Standard,4,26,259
2011/2012,BC Public School,3333024,Robertson Elementary,Standard,5,35,259
2011/2012,BC Public School,3333024,Robertson Elementary,Standard,6,38,259
2011/2012,BC Public School,3333024,Robertson Elementary,Standard,KF,41,259
2011/2012,BC Public School,3333028,McCammon Traditional Elementary,Standard,1,35,255
2011/2012,BC Public School,3333028,McCammon Traditional Elementary,Standard,2,41,255
2011/2012,BC Public School,3333028,McCammon Traditional Elementary,Standard,3,29,255
2011/2012,BC Public School,3333028,McCammon Traditional Elementary,Standard,4,45,255
2011/2012,BC Public School,3333028,McCammon Traditional Elementary,Standard,5,39,255
2011/2012,BC Public School,3333028,McCammon Traditional Elementary,Standard,6,29,255
2011/2012,BC Public School,3333028,McCammon Traditional Elementary,Standard,KF,37,255
2011/2012,BC Public School,3333029,Unsworth Elementary,Standard,1,54,454
2011/2012,BC Public School,3333029,Unsworth Elementary,Standard,2,72,454
2011/2012,BC Public School,3333029,Unsworth Elementary,Standard,3,61,454
2011/2012,BC Public School,3333029,Unsworth Elementary,Standard,4,74,454
2011/2012,BC Public School,3333029,Unsworth Elementary,Standard,5,65,454
2011/2012,BC Public School,3333029,Unsworth Elementary,Standard,6,57,454
2011/2012,BC Public School,3333029,Unsworth Elementary,Standard,KF,71,454
2011/2012,BC Public School,3333030,F G Leary Fine Arts Elementary,Standard,1,48,338
2011/2012,BC Public School,3333030,F G Leary Fine Arts Elementary,Standard,2,48,338
2011/2012,BC Public School,3333030,F G Leary Fine Arts Elementary,Standard,3,48,338
2011/2012,BC Public School,3333030,F G Leary Fine Arts Elementary,Standard,4,49,338
2011/2012,BC Public School,3333030,F G Leary Fine Arts Elementary,Standard,5,58,338
2011/2012,BC Public School,3333030,F G Leary Fine Arts Elementary,Standard,6,43,338
2011/2012,BC Public School,3333030,F G Leary Fine Arts Elementary,Standard,KF,44,338
2011/2012,BC Public School,3333033,A D Rundle Middle School,Standard,7,100,306
2011/2012,BC Public School,3333033,A D Rundle Middle School,Standard,8,95,306
2011/2012,BC Public School,3333033,A D Rundle Middle School,Standard,9,109,306
2011/2012,BC Public School,3333033,A D Rundle Middle School,Standard,SECONDARY,Msk,306
2011/2012,BC Public School,3333034,Vedder Middle School,Standard,7,195,592
2011/2012,BC Public School,3333034,Vedder Middle School,Standard,8,194,592
2011/2012,BC Public School,3333034,Vedder Middle School,Standard,9,203,592
2011/2012,BC Public School,3333035,Tyson Elementary,Standard,1,30,290
2011/2012,BC Public School,3333035,Tyson Elementary,Standard,2,48,290
2011/2012,BC Public School,3333035,Tyson Elementary,Standard,3,38,290
2011/2012,BC Public School,3333035,Tyson Elementary,Standard,4,37,290
2011/2012,BC Public School,3333035,Tyson Elementary,Standard,5,56,290
2011/2012,BC Public School,3333035,Tyson Elementary,Standard,6,40,290
2011/2012,BC Public School,3333035,Tyson Elementary,Standard,KF,41,290
2011/2012,BC Public School,3333038,Mount Slesse Middle School,Standard,7,207,555
2011/2012,BC Public School,3333038,Mount Slesse Middle School,Standard,8,172,555
2011/2012,BC Public School,3333038,Mount Slesse Middle School,Standard,9,174,555
2011/2012,BC Public School,3333038,Mount Slesse Middle School,Standard,SECONDARY,Msk,555
2011/2012,BC Public School,3333039,Evans Elementary,Standard,1,46,269
2011/2012,BC Public School,3333039,Evans Elementary,Standard,2,44,269
2011/2012,BC Public School,3333039,Evans Elementary,Standard,3,43,269
2011/2012,BC Public School,3333039,Evans Elementary,Standard,4,25,269
2011/2012,BC Public School,3333039,Evans Elementary,Standard,5,35,269
2011/2012,BC Public School,3333039,Evans Elementary,Standard,6,32,269
2011/2012,BC Public School,3333039,Evans Elementary,Standard,KF,44,269
2011/2012,BC Public School,3333040,Promontory Heights Community Elementary,Standard,1,65,562
2011/2012,BC Public School,3333040,Promontory Heights Community Elementary,Standard,2,69,562
2011/2012,BC Public School,3333040,Promontory Heights Community Elementary,Standard,3,94,562
2011/2012,BC Public School,3333040,Promontory Heights Community Elementary,Standard,4,78,562
2011/2012,BC Public School,3333040,Promontory Heights Community Elementary,Standard,5,88,562
2011/2012,BC Public School,3333040,Promontory Heights Community Elementary,Standard,6,81,562
2011/2012,BC Public School,3333040,Promontory Heights Community Elementary,Standard,KF,87,562
2011/2012,BC Public School,3333042,Greendale Elementary,Standard,1,26,158
2011/2012,BC Public School,3333042,Greendale Elementary,Standard,2,22,158
2011/2012,BC Public School,3333042,Greendale Elementary,Standard,3,22,158
2011/2012,BC Public School,3333042,Greendale Elementary,Standard,4,26,158
2011/2012,BC Public School,3333042,Greendale Elementary,Standard,5,20,158
2011/2012,BC Public School,3333042,Greendale Elementary,Standard,6,22,158
2011/2012,BC Public School,3333042,Greendale Elementary,Standard,KF,20,158
2011/2012,BC Public School,3333043,GW Graham Middle Secondary,Standard,7,149,962
2011/2012,BC Public School,3333043,GW Graham Middle Secondary,Standard,8,150,962
2011/2012,BC Public School,3333043,GW Graham Middle Secondary,Standard,9,149,962
2011/2012,BC Public School,3333043,GW Graham Middle Secondary,Standard,10,177,962
2011/2012,BC Public School,3333043,GW Graham Middle Secondary,Standard,11,152,962
2011/2012,BC Public School,3333043,GW Graham Middle Secondary,Standard,12,184,962
2011/2012,BC Public School,3333043,GW Graham Middle Secondary,Standard,GRADUATED ADULT,Msk,962
2011/2012,BC Public School,3398003,Fraser Valley Distance Education School,District Distance Ed,1,Msk,934
2011/2012,BC Public School,3398003,Fraser Valley Distance Education School,District Distance Ed,2,Msk,934
2011/2012,BC Public School,3398003,Fraser Valley Distance Education School,District Distance Ed,3,Msk,934
2011/2012,BC Public School,3398003,Fraser Valley Distance Education School,District Distance Ed,4,10,934
2011/2012,BC Public School,3398003,Fraser Valley Distance Education School,District Distance Ed,5,14,934
2011/2012,BC Public School,3398003,Fraser Valley Distance Education School,District Distance Ed,6,20,934
2011/2012,BC Public School,3398003,Fraser Valley Distance Education School,District Distance Ed,7,16,934
2011/2012,BC Public School,3398003,Fraser Valley Distance Education School,District Distance Ed,8,34,934
2011/2012,BC Public School,3398003,Fraser Valley Distance Education School,District Distance Ed,9,54,934
2011/2012,BC Public School,3398003,Fraser Valley Distance Education School,District Distance Ed,10,53,934
2011/2012,BC Public School,3398003,Fraser Valley Distance Education School,District Distance Ed,11,263,934
2011/2012,BC Public School,3398003,Fraser Valley Distance Education School,District Distance Ed,12,202,934
2011/2012,BC Public School,3398003,Fraser Valley Distance Education School,District Distance Ed,GRADUATED ADULT,236,934
