SCHOOL_YEAR,PUBLIC_OR_INDEPENDENT,SCHOOL_NUMBER,SCHOOL_NAME,SCHOOL_FACILITY_TYPE,SCHOOL_GRADE,SCHOOL_GRADE_HEADCOUNT,SCHOOL_TOTAL_HEADCOUNT
2011/2012,BC Public School,502032,Kootenay Orchards Elementary,Standard,5,26,219
2011/2012,BC Public School,502032,Kootenay Orchards Elementary,Standard,6,26,219
2011/2012,BC Public School,502032,Kootenay Orchards Elementary,Standard,KF,34,219
2011/2012,BC Public School,505018,Parkland Middle School,Standard,7,151,474
2011/2012,BC Public School,505018,Parkland Middle School,Standard,8,163,474
2011/2012,BC Public School,505018,Parkland Middle School,Standard,9,160,474
2011/2012,BC Public School,505033,Elkford Elementary Secondary,Standard,7,20,165
2011/2012,BC Public School,505033,Elkford Elementary Secondary,Standard,8,36,165
2011/2012,BC Public School,505033,Elkford Elementary Secondary,Standard,9,24,165
2011/2012,BC Public School,505033,Elkford Elementary Secondary,Standard,10,34,165
2011/2012,BC Public School,505033,Elkford Elementary Secondary,Standard,11,30,165
2011/2012,BC Public School,505033,Elkford Elementary Secondary,Standard,12,21,165
2011/2012,BC Public School,505034,Fernie Secondary,Standard,7,43,370
2011/2012,BC Public School,505034,Fernie Secondary,Standard,8,43,370
2011/2012,BC Public School,505034,Fernie Secondary,Standard,9,64,370
2011/2012,BC Public School,505034,Fernie Secondary,Standard,10,61,370
2011/2012,BC Public School,505034,Fernie Secondary,Standard,11,70,370
2011/2012,BC Public School,505034,Fernie Secondary,Standard,12,87,370
2011/2012,BC Public School,505034,Fernie Secondary,Standard,SECONDARY,Msk,370
2011/2012,BC Public School,505035,Sparwood Secondary,Standard,7,43,291
2011/2012,BC Public School,505035,Sparwood Secondary,Standard,8,53,291
2011/2012,BC Public School,505035,Sparwood Secondary,Standard,9,49,291
2011/2012,BC Public School,505035,Sparwood Secondary,Standard,10,42,291
2011/2012,BC Public School,505035,Sparwood Secondary,Standard,11,59,291
2011/2012,BC Public School,505035,Sparwood Secondary,Standard,12,45,291
2011/2012,BC Public School,599078,Kootenay Educational Services,Alternate,9,19,58
2011/2012,BC Public School,599078,Kootenay Educational Services,Alternate,10,21,58
2011/2012,BC Public School,599078,Kootenay Educational Services,Alternate,11,12,58
2011/2012,BC Public School,599078,Kootenay Educational Services,Alternate,12,Msk,58
2011/2012,BC Public School,599078,Kootenay Educational Services,Alternate,SECONDARY,Msk,58
2011/2012,BC Public School,599156,Kootenay Discovery School,District Distance Ed,2,Msk,78
