DATA_LEVEL,PUBLIC_OR_INDEPENDENT,DISTRICT_NUMBER,DISTRICT_NAME,SCHOOL_NUMBER,SCHOOL_NAME,SCHOOL_YEAR,MEASURE_NAME,MEASURE_VALUE
DISTRICT LEVEL,BC Public School,5,Southeast Kootenay,,,2008/2009,FIRST TIME GRADE 12 GRAD,83
DISTRICT LEVEL,BC Public School,5,Southeast Kootenay,,,2009/2010,FIRST TIME GRADE 12 GRAD,82
DISTRICT LEVEL,BC Public School,5,Southeast Kootenay,,,2010/2011,FIRST TIME GRADE 12 GRAD,84
DISTRICT LEVEL,BC Public School,5,Southeast Kootenay,,,2011/2012,FIRST TIME GRADE 12 GRAD,85
DISTRICT LEVEL,BC Public School,6,Rocky Mountain,,,1996/1997,FIRST TIME GRADE 12 GRAD,65
DISTRICT LEVEL,BC Public School,6,Rocky Mountain,,,1997/1998,FIRST TIME GRADE 12 GRAD,63
DISTRICT LEVEL,BC Public School,6,Rocky Mountain,,,1998/1999,FIRST TIME GRADE 12 GRAD,79
DISTRICT LEVEL,BC Public School,6,Rocky Mountain,,,1999/2000,FIRST TIME GRADE 12 GRAD,76
DISTRICT LEVEL,BC Public School,6,Rocky Mountain,,,2000/2001,FIRST TIME GRADE 12 GRAD,79
DISTRICT LEVEL,BC Public School,6,Rocky Mountain,,,2001/2002,FIRST TIME GRADE 12 GRAD,84
DISTRICT LEVEL,BC Public School,6,Rocky Mountain,,,2002/2003,FIRST TIME GRADE 12 GRAD,78
DISTRICT LEVEL,BC Public School,6,Rocky Mountain,,,2003/2004,FIRST TIME GRADE 12 GRAD,86
DISTRICT LEVEL,BC Public School,6,Rocky Mountain,,,2004/2005,FIRST TIME GRADE 12 GRAD,84
DISTRICT LEVEL,BC Public School,6,Rocky Mountain,,,2005/2006,FIRST TIME GRADE 12 GRAD,80
DISTRICT LEVEL,BC Public School,6,Rocky Mountain,,,2006/2007,FIRST TIME GRADE 12 GRAD,86
DISTRICT LEVEL,BC Public School,6,Rocky Mountain,,,2007/2008,FIRST TIME GRADE 12 GRAD,78
DISTRICT LEVEL,BC Public School,6,Rocky Mountain,,,2008/2009,FIRST TIME GRADE 12 GRAD,83
DISTRICT LEVEL,BC Public School,6,Rocky Mountain,,,2009/2010,FIRST TIME GRADE 12 GRAD,81
DISTRICT LEVEL,BC Public School,6,Rocky Mountain,,,2010/2011,FIRST TIME GRADE 12 GRAD,78
DISTRICT LEVEL,BC Public School,6,Rocky Mountain,,,2011/2012,FIRST TIME GRADE 12 GRAD,85
DISTRICT LEVEL,BC Public School,8,Kootenay Lake,,,1996/1997,FIRST TIME GRADE 12 GRAD,76
DISTRICT LEVEL,BC Public School,8,Kootenay Lake,,,1997/1998,FIRST TIME GRADE 12 GRAD,65
DISTRICT LEVEL,BC Public School,8,Kootenay Lake,,,1998/1999,FIRST TIME GRADE 12 GRAD,76
DISTRICT LEVEL,BC Public School,8,Kootenay Lake,,,1999/2000,FIRST TIME GRADE 12 GRAD,77
DISTRICT LEVEL,BC Public School,8,Kootenay Lake,,,2000/2001,FIRST TIME GRADE 12 GRAD,78
DISTRICT LEVEL,BC Public School,8,Kootenay Lake,,,2001/2002,FIRST TIME GRADE 12 GRAD,78
DISTRICT LEVEL,BC Public School,8,Kootenay Lake,,,2002/2003,FIRST TIME GRADE 12 GRAD,75
DISTRICT LEVEL,BC Public School,8,Kootenay Lake,,,2003/2004,FIRST TIME GRADE 12 GRAD,78
DISTRICT LEVEL,BC Public School,8,Kootenay Lake,,,2004/2005,FIRST TIME GRADE 12 GRAD,78
DISTRICT LEVEL,BC Public School,8,Kootenay Lake,,,2005/2006,FIRST TIME GRADE 12 GRAD,77
DISTRICT LEVEL,BC Public School,8,Kootenay Lake,,,2006/2007,FIRST TIME GRADE 12 GRAD,80
DISTRICT LEVEL,BC Public School,8,Kootenay Lake,,,2007/2008,FIRST TIME GRADE 12 GRAD,84
DISTRICT LEVEL,BC Public School,8,Kootenay Lake,,,2008/2009,FIRST TIME GRADE 12 GRAD,82
DISTRICT LEVEL,BC Public School,8,Kootenay Lake,,,2009/2010,FIRST TIME GRADE 12 GRAD,76
DISTRICT LEVEL,BC Public School,8,Kootenay Lake,,,2010/2011,FIRST TIME GRADE 12 GRAD,76
DISTRICT LEVEL,BC Public School,8,Kootenay Lake,,,2011/2012,FIRST TIME GRADE 12 GRAD,78
DISTRICT LEVEL,BC Public School,10,Arrow Lakes,,,1996/1997,FIRST TIME GRADE 12 GRAD,64
DISTRICT LEVEL,BC Public School,10,Arrow Lakes,,,1997/1998,FIRST TIME GRADE 12 GRAD,71
DISTRICT LEVEL,BC Public School,10,Arrow Lakes,,,1998/1999,FIRST TIME GRADE 12 GRAD,70
DISTRICT LEVEL,BC Public School,10,Arrow Lakes,,,1999/2000,FIRST TIME GRADE 12 GRAD,69
DISTRICT LEVEL,BC Public School,10,Arrow Lakes,,,2000/2001,FIRST TIME GRADE 12 GRAD,76
DISTRICT LEVEL,BC Public School,10,Arrow Lakes,,,2001/2002,FIRST TIME GRADE 12 GRAD,67
DISTRICT LEVEL,BC Public School,10,Arrow Lakes,,,2002/2003,FIRST TIME GRADE 12 GRAD,71
DISTRICT LEVEL,BC Public School,10,Arrow Lakes,,,2003/2004,FIRST TIME GRADE 12 GRAD,78
DISTRICT LEVEL,BC Public School,10,Arrow Lakes,,,2004/2005,FIRST TIME GRADE 12 GRAD,88
DISTRICT LEVEL,BC Public School,10,Arrow Lakes,,,2005/2006,FIRST TIME GRADE 12 GRAD,85
DISTRICT LEVEL,BC Public School,10,Arrow Lakes,,,2006/2007,FIRST TIME GRADE 12 GRAD,76
DISTRICT LEVEL,BC Public School,10,Arrow Lakes,,,2007/2008,FIRST TIME GRADE 12 GRAD,86
DISTRICT LEVEL,BC Public School,10,Arrow Lakes,,,2008/2009,FIRST TIME GRADE 12 GRAD,90
DISTRICT LEVEL,BC Public School,10,Arrow Lakes,,,2009/2010,FIRST TIME GRADE 12 GRAD,92
DISTRICT LEVEL,BC Public School,10,Arrow Lakes,,,2010/2011,FIRST TIME GRADE 12 GRAD,82
