DATA_LEVEL,PUBLIC_OR_INDEPENDENT,DISTRICT_NUMBER,DISTRICT_NAME,MINCODE_ATTRIB,SCHOOL_NAME_ATTRIB,SCHOOL_YEAR,MEASURE_NAME,MASKED_VALUE
DISTRICT LEVEL,BC Public School,6,Rocky Mountain,,,2011/2012,SIX YEAR DOGWOOD COMPLETION RATE,78.8
DISTRICT LEVEL,BC Public School,8,Kootenay Lake,,,1999/2000,SIX YEAR DOGWOOD COMPLETION RATE,80
DISTRICT LEVEL,BC Public School,8,Kootenay Lake,,,2000/2001,SIX YEAR DOGWOOD COMPLETION RATE,80.4
DISTRICT LEVEL,BC Public School,8,Kootenay Lake,,,2001/2002,SIX YEAR DOGWOOD COMPLETION RATE,82
DISTRICT LEVEL,BC Public School,8,Kootenay Lake,,,2002/2003,SIX YEAR DOGWOOD COMPLETION RATE,86.7
DISTRICT LEVEL,BC Public School,8,Kootenay Lake,,,2003/2004,SIX YEAR DOGWOOD COMPLETION RATE,83.4
DISTRICT LEVEL,BC Public School,8,Kootenay Lake,,,2004/2005,SIX YEAR DOGWOOD COMPLETION RATE,80.6
DISTRICT LEVEL,BC Public School,8,Kootenay Lake,,,2005/2006,SIX YEAR DOGWOOD COMPLETION RATE,83.5
DISTRICT LEVEL,BC Public School,8,Kootenay Lake,,,2006/2007,SIX YEAR DOGWOOD COMPLETION RATE,80.3
DISTRICT LEVEL,BC Public School,8,Kootenay Lake,,,2007/2008,SIX YEAR DOGWOOD COMPLETION RATE,75.5
DISTRICT LEVEL,BC Public School,8,Kootenay Lake,,,2008/2009,SIX YEAR DOGWOOD COMPLETION RATE,77.8
DISTRICT LEVEL,BC Public School,8,Kootenay Lake,,,2009/2010,SIX YEAR DOGWOOD COMPLETION RATE,74
DISTRICT LEVEL,BC Public School,8,Kootenay Lake,,,2010/2011,SIX YEAR DOGWOOD COMPLETION RATE,76
DISTRICT LEVEL,BC Public School,8,Kootenay Lake,,,2011/2012,SIX YEAR DOGWOOD COMPLETION RATE,78.5
DISTRICT LEVEL,BC Public School,10,Arrow Lakes,,,1999/2000,SIX YEAR DOGWOOD COMPLETION RATE,78
DISTRICT LEVEL,BC Public School,10,Arrow Lakes,,,2000/2001,SIX YEAR DOGWOOD COMPLETION RATE,69
DISTRICT LEVEL,BC Public School,10,Arrow Lakes,,,2001/2002,SIX YEAR DOGWOOD COMPLETION RATE,85.1
DISTRICT LEVEL,BC Public School,10,Arrow Lakes,,,2002/2003,SIX YEAR DOGWOOD COMPLETION RATE,80.1
DISTRICT LEVEL,BC Public School,10,Arrow Lakes,,,2003/2004,SIX YEAR DOGWOOD COMPLETION RATE,77.1
DISTRICT LEVEL,BC Public School,10,Arrow Lakes,,,2004/2005,SIX YEAR DOGWOOD COMPLETION RATE,72.8
DISTRICT LEVEL,BC Public School,10,Arrow Lakes,,,2005/2006,SIX YEAR DOGWOOD COMPLETION RATE,90.2
DISTRICT LEVEL,BC Public School,10,Arrow Lakes,,,2006/2007,SIX YEAR DOGWOOD COMPLETION RATE,90.9
DISTRICT LEVEL,BC Public School,10,Arrow Lakes,,,2007/2008,SIX YEAR DOGWOOD COMPLETION RATE,75.1
DISTRICT LEVEL,BC Public School,10,Arrow Lakes,,,2008/2009,SIX YEAR DOGWOOD COMPLETION RATE,84.5
DISTRICT LEVEL,BC Public School,10,Arrow Lakes,,,2009/2010,SIX YEAR DOGWOOD COMPLETION RATE,88.1
DISTRICT LEVEL,BC Public School,10,Arrow Lakes,,,2010/2011,SIX YEAR DOGWOOD COMPLETION RATE,93.7
DISTRICT LEVEL,BC Public School,10,Arrow Lakes,,,2011/2012,SIX YEAR DOGWOOD COMPLETION RATE,92.2
DISTRICT LEVEL,BC Public School,19,Revelstoke,,,1999/2000,SIX YEAR DOGWOOD COMPLETION RATE,75.8
DISTRICT LEVEL,BC Public School,19,Revelstoke,,,2000/2001,SIX YEAR DOGWOOD COMPLETION RATE,78
DISTRICT LEVEL,BC Public School,19,Revelstoke,,,2001/2002,SIX YEAR DOGWOOD COMPLETION RATE,87.9
DISTRICT LEVEL,BC Public School,19,Revelstoke,,,2002/2003,SIX YEAR DOGWOOD COMPLETION RATE,88.6
DISTRICT LEVEL,BC Public School,19,Revelstoke,,,2003/2004,SIX YEAR DOGWOOD COMPLETION RATE,79.2
DISTRICT LEVEL,BC Public School,19,Revelstoke,,,2004/2005,SIX YEAR DOGWOOD COMPLETION RATE,85.6
DISTRICT LEVEL,BC Public School,19,Revelstoke,,,2005/2006,SIX YEAR DOGWOOD COMPLETION RATE,83.4
DISTRICT LEVEL,BC Public School,19,Revelstoke,,,2006/2007,SIX YEAR DOGWOOD COMPLETION RATE,82.6
DISTRICT LEVEL,BC Public School,19,Revelstoke,,,2007/2008,SIX YEAR DOGWOOD COMPLETION RATE,80.2
DISTRICT LEVEL,BC Public School,19,Revelstoke,,,2008/2009,SIX YEAR DOGWOOD COMPLETION RATE,88.2
