DATA_LEVEL,PUBLIC_OR_INDEPENDENT,DISTRICT_NUMBER,DISTRICT_NAME,MINCODE_ATTRIB,SCHOOL_NAME_ATTRIB,SCHOOL_YEAR,MEASURE_NAME,MASKED_VALUE
DISTRICT LEVEL,BC Public School,37,Delta,,,2004/2005,SIX YEAR DOGWOOD COMPLETION RATE,86
DISTRICT LEVEL,BC Public School,37,Delta,,,2005/2006,SIX YEAR DOGWOOD COMPLETION RATE,90
DISTRICT LEVEL,BC Public School,37,Delta,,,2006/2007,SIX YEAR DOGWOOD COMPLETION RATE,91.1
DISTRICT LEVEL,BC Public School,37,Delta,,,2007/2008,SIX YEAR DOGWOOD COMPLETION RATE,85.4
DISTRICT LEVEL,BC Public School,37,Delta,,,2008/2009,SIX YEAR DOGWOOD COMPLETION RATE,84.8
DISTRICT LEVEL,BC Public School,37,Delta,,,2009/2010,SIX YEAR DOGWOOD COMPLETION RATE,86.6
DISTRICT LEVEL,BC Public School,37,Delta,,,2010/2011,SIX YEAR DOGWOOD COMPLETION RATE,84.8
DISTRICT LEVEL,BC Public School,37,Delta,,,2011/2012,SIX YEAR DOGWOOD COMPLETION RATE,86.2
DISTRICT LEVEL,BC Public School,38,Richmond,,,1999/2000,SIX YEAR DOGWOOD COMPLETION RATE,85.1
DISTRICT LEVEL,BC Public School,38,Richmond,,,2000/2001,SIX YEAR DOGWOOD COMPLETION RATE,88.4
DISTRICT LEVEL,BC Public School,38,Richmond,,,2001/2002,SIX YEAR DOGWOOD COMPLETION RATE,89.2
DISTRICT LEVEL,BC Public School,38,Richmond,,,2002/2003,SIX YEAR DOGWOOD COMPLETION RATE,88.4
DISTRICT LEVEL,BC Public School,38,Richmond,,,2003/2004,SIX YEAR DOGWOOD COMPLETION RATE,90.5
DISTRICT LEVEL,BC Public School,38,Richmond,,,2004/2005,SIX YEAR DOGWOOD COMPLETION RATE,93.1
DISTRICT LEVEL,BC Public School,38,Richmond,,,2005/2006,SIX YEAR DOGWOOD COMPLETION RATE,93.4
DISTRICT LEVEL,BC Public School,38,Richmond,,,2006/2007,SIX YEAR DOGWOOD COMPLETION RATE,92.1
DISTRICT LEVEL,BC Public School,38,Richmond,,,2007/2008,SIX YEAR DOGWOOD COMPLETION RATE,91.2
DISTRICT LEVEL,BC Public School,38,Richmond,,,2008/2009,SIX YEAR DOGWOOD COMPLETION RATE,89
DISTRICT LEVEL,BC Public School,38,Richmond,,,2009/2010,SIX YEAR DOGWOOD COMPLETION RATE,90.5
DISTRICT LEVEL,BC Public School,38,Richmond,,,2010/2011,SIX YEAR DOGWOOD COMPLETION RATE,89.8
DISTRICT LEVEL,BC Public School,38,Richmond,,,2011/2012,SIX YEAR DOGWOOD COMPLETION RATE,88.8
DISTRICT LEVEL,BC Public School,39,Vancouver,,,1999/2000,SIX YEAR DOGWOOD COMPLETION RATE,77.3
DISTRICT LEVEL,BC Public School,39,Vancouver,,,2000/2001,SIX YEAR DOGWOOD COMPLETION RATE,77.3
DISTRICT LEVEL,BC Public School,39,Vancouver,,,2001/2002,SIX YEAR DOGWOOD COMPLETION RATE,77.3
DISTRICT LEVEL,BC Public School,39,Vancouver,,,2002/2003,SIX YEAR DOGWOOD COMPLETION RATE,79.2
DISTRICT LEVEL,BC Public School,39,Vancouver,,,2003/2004,SIX YEAR DOGWOOD COMPLETION RATE,80.1
DISTRICT LEVEL,BC Public School,39,Vancouver,,,2004/2005,SIX YEAR DOGWOOD COMPLETION RATE,80.4
DISTRICT LEVEL,BC Public School,39,Vancouver,,,2005/2006,SIX YEAR DOGWOOD COMPLETION RATE,82.7
DISTRICT LEVEL,BC Public School,39,Vancouver,,,2006/2007,SIX YEAR DOGWOOD COMPLETION RATE,81.1
DISTRICT LEVEL,BC Public School,39,Vancouver,,,2007/2008,SIX YEAR DOGWOOD COMPLETION RATE,79.5
DISTRICT LEVEL,BC Public School,39,Vancouver,,,2008/2009,SIX YEAR DOGWOOD COMPLETION RATE,79.6
DISTRICT LEVEL,BC Public School,39,Vancouver,,,2009/2010,SIX YEAR DOGWOOD COMPLETION RATE,80.7
DISTRICT LEVEL,BC Public School,39,Vancouver,,,2010/2011,SIX YEAR DOGWOOD COMPLETION RATE,82.5
DISTRICT LEVEL,BC Public School,39,Vancouver,,,2011/2012,SIX YEAR DOGWOOD COMPLETION RATE,83.8
DISTRICT LEVEL,BC Public School,40,New Westminster,,,1999/2000,SIX YEAR DOGWOOD COMPLETION RATE,54.2
DISTRICT LEVEL,BC Public School,40,New Westminster,,,2000/2001,SIX YEAR DOGWOOD COMPLETION RATE,54.8
DISTRICT LEVEL,BC Public School,40,New Westminster,,,2001/2002,SIX YEAR DOGWOOD COMPLETION RATE,61.8
DISTRICT LEVEL,BC Public School,40,New Westminster,,,2002/2003,SIX YEAR DOGWOOD COMPLETION RATE,65.9
DISTRICT LEVEL,BC Public School,40,New Westminster,,,2003/2004,SIX YEAR DOGWOOD COMPLETION RATE,67.6
DISTRICT LEVEL,BC Public School,40,New Westminster,,,2004/2005,SIX YEAR DOGWOOD COMPLETION RATE,75.8
DISTRICT LEVEL,BC Public School,40,New Westminster,,,2005/2006,SIX YEAR DOGWOOD COMPLETION RATE,74.2
DISTRICT LEVEL,BC Public School,40,New Westminster,,,2006/2007,SIX YEAR DOGWOOD COMPLETION RATE,77.2
DISTRICT LEVEL,BC Public School,40,New Westminster,,,2007/2008,SIX YEAR DOGWOOD COMPLETION RATE,74.6
DISTRICT LEVEL,BC Public School,40,New Westminster,,,2008/2009,SIX YEAR DOGWOOD COMPLETION RATE,78.7
DISTRICT LEVEL,BC Public School,40,New Westminster,,,2009/2010,SIX YEAR DOGWOOD COMPLETION RATE,74.1
DISTRICT LEVEL,BC Public School,40,New Westminster,,,2010/2011,SIX YEAR DOGWOOD COMPLETION RATE,80.8
DISTRICT LEVEL,BC Public School,40,New Westminster,,,2011/2012,SIX YEAR DOGWOOD COMPLETION RATE,78.9
DISTRICT LEVEL,BC Public School,41,Burnaby,,,1999/2000,SIX YEAR DOGWOOD COMPLETION RATE,78.8
DISTRICT LEVEL,BC Public School,41,Burnaby,,,2000/2001,SIX YEAR DOGWOOD COMPLETION RATE,80.9
DISTRICT LEVEL,BC Public School,41,Burnaby,,,2001/2002,SIX YEAR DOGWOOD COMPLETION RATE,81.3
DISTRICT LEVEL,BC Public School,41,Burnaby,,,2002/2003,SIX YEAR DOGWOOD COMPLETION RATE,84.4
DISTRICT LEVEL,BC Public School,41,Burnaby,,,2003/2004,SIX YEAR DOGWOOD COMPLETION RATE,84
DISTRICT LEVEL,BC Public School,41,Burnaby,,,2004/2005,SIX YEAR DOGWOOD COMPLETION RATE,86.4
DISTRICT LEVEL,BC Public School,41,Burnaby,,,2005/2006,SIX YEAR DOGWOOD COMPLETION RATE,85.8
DISTRICT LEVEL,BC Public School,41,Burnaby,,,2006/2007,SIX YEAR DOGWOOD COMPLETION RATE,85.8
DISTRICT LEVEL,BC Public School,41,Burnaby,,,2007/2008,SIX YEAR DOGWOOD COMPLETION RATE,82
DISTRICT LEVEL,BC Public School,41,Burnaby,,,2008/2009,SIX YEAR DOGWOOD COMPLETION RATE,83
DISTRICT LEVEL,BC Public School,41,Burnaby,,,2009/2010,SIX YEAR DOGWOOD COMPLETION RATE,80.8
DISTRICT LEVEL,BC Public School,41,Burnaby,,,2010/2011,SIX YEAR DOGWOOD COMPLETION RATE,82.3
DISTRICT LEVEL,BC Public School,41,Burnaby,,,2011/2012,SIX YEAR DOGWOOD COMPLETION RATE,83.5
DISTRICT LEVEL,BC Public School,42,Maple Ridge-Pitt Meadows,,,1999/2000,SIX YEAR DOGWOOD COMPLETION RATE,73.7
DISTRICT LEVEL,BC Public School,42,Maple Ridge-Pitt Meadows,,,2000/2001,SIX YEAR DOGWOOD COMPLETION RATE,75.8
DISTRICT LEVEL,BC Public School,42,Maple Ridge-Pitt Meadows,,,2001/2002,SIX YEAR DOGWOOD COMPLETION RATE,77.7
DISTRICT LEVEL,BC Public School,42,Maple Ridge-Pitt Meadows,,,2002/2003,SIX YEAR DOGWOOD COMPLETION RATE,77
DISTRICT LEVEL,BC Public School,42,Maple Ridge-Pitt Meadows,,,2003/2004,SIX YEAR DOGWOOD COMPLETION RATE,79.3
DISTRICT LEVEL,BC Public School,42,Maple Ridge-Pitt Meadows,,,2004/2005,SIX YEAR DOGWOOD COMPLETION RATE,77.2
DISTRICT LEVEL,BC Public School,42,Maple Ridge-Pitt Meadows,,,2005/2006,SIX YEAR DOGWOOD COMPLETION RATE,75
DISTRICT LEVEL,BC Public School,42,Maple Ridge-Pitt Meadows,,,2006/2007,SIX YEAR DOGWOOD COMPLETION RATE,77.4
DISTRICT LEVEL,BC Public School,42,Maple Ridge-Pitt Meadows,,,2007/2008,SIX YEAR DOGWOOD COMPLETION RATE,75.5
DISTRICT LEVEL,BC Public School,42,Maple Ridge-Pitt Meadows,,,2008/2009,SIX YEAR DOGWOOD COMPLETION RATE,76.7
DISTRICT LEVEL,BC Public School,42,Maple Ridge-Pitt Meadows,,,2009/2010,SIX YEAR DOGWOOD COMPLETION RATE,77.6
DISTRICT LEVEL,BC Public School,42,Maple Ridge-Pitt Meadows,,,2010/2011,SIX YEAR DOGWOOD COMPLETION RATE,79.2
DISTRICT LEVEL,BC Public School,42,Maple Ridge-Pitt Meadows,,,2011/2012,SIX YEAR DOGWOOD COMPLETION RATE,83.5
DISTRICT LEVEL,BC Public School,43,Coquitlam,,,1999/2000,SIX YEAR DOGWOOD COMPLETION RATE,79
DISTRICT LEVEL,BC Public School,43,Coquitlam,,,2000/2001,SIX YEAR DOGWOOD COMPLETION RATE,79.7
DISTRICT LEVEL,BC Public School,43,Coquitlam,,,2001/2002,SIX YEAR DOGWOOD COMPLETION RATE,80.8
DISTRICT LEVEL,BC Public School,43,Coquitlam,,,2002/2003,SIX YEAR DOGWOOD COMPLETION RATE,85.2
DISTRICT LEVEL,BC Public School,43,Coquitlam,,,2003/2004,SIX YEAR DOGWOOD COMPLETION RATE,86.4
DISTRICT LEVEL,BC Public School,43,Coquitlam,,,2004/2005,SIX YEAR DOGWOOD COMPLETION RATE,88.1
DISTRICT LEVEL,BC Public School,43,Coquitlam,,,2005/2006,SIX YEAR DOGWOOD COMPLETION RATE,89.1
DISTRICT LEVEL,BC Public School,43,Coquitlam,,,2006/2007,SIX YEAR DOGWOOD COMPLETION RATE,89
DISTRICT LEVEL,BC Public School,43,Coquitlam,,,2007/2008,SIX YEAR DOGWOOD COMPLETION RATE,88.2
DISTRICT LEVEL,BC Public School,43,Coquitlam,,,2008/2009,SIX YEAR DOGWOOD COMPLETION RATE,90.2
DISTRICT LEVEL,BC Public School,43,Coquitlam,,,2009/2010,SIX YEAR DOGWOOD COMPLETION RATE,88.6
DISTRICT LEVEL,BC Public School,43,Coquitlam,,,2010/2011,SIX YEAR DOGWOOD COMPLETION RATE,90.6
DISTRICT LEVEL,BC Public School,43,Coquitlam,,,2011/2012,SIX YEAR DOGWOOD COMPLETION RATE,89.8
DISTRICT LEVEL,BC Public School,44,North Vancouver,,,1999/2000,SIX YEAR DOGWOOD COMPLETION RATE,80
DISTRICT LEVEL,BC Public School,44,North Vancouver,,,2000/2001,SIX YEAR DOGWOOD COMPLETION RATE,78.2
DISTRICT LEVEL,BC Public School,44,North Vancouver,,,2001/2002,SIX YEAR DOGWOOD COMPLETION RATE,79.1
DISTRICT LEVEL,BC Public School,44,North Vancouver,,,2002/2003,SIX YEAR DOGWOOD COMPLETION RATE,79.4
DISTRICT LEVEL,BC Public School,44,North Vancouver,,,2003/2004,SIX YEAR DOGWOOD COMPLETION RATE,79.4
DISTRICT LEVEL,BC Public School,44,North Vancouver,,,2004/2005,SIX YEAR DOGWOOD COMPLETION RATE,81.3
DISTRICT LEVEL,BC Public School,44,North Vancouver,,,2005/2006,SIX YEAR DOGWOOD COMPLETION RATE,83.6
DISTRICT LEVEL,BC Public School,44,North Vancouver,,,2006/2007,SIX YEAR DOGWOOD COMPLETION RATE,82.6
DISTRICT LEVEL,BC Public School,44,North Vancouver,,,2007/2008,SIX YEAR DOGWOOD COMPLETION RATE,81
DISTRICT LEVEL,BC Public School,44,North Vancouver,,,2008/2009,SIX YEAR DOGWOOD COMPLETION RATE,83.8
DISTRICT LEVEL,BC Public School,44,North Vancouver,,,2009/2010,SIX YEAR DOGWOOD COMPLETION RATE,87
DISTRICT LEVEL,BC Public School,44,North Vancouver,,,2010/2011,SIX YEAR DOGWOOD COMPLETION RATE,86.1
DISTRICT LEVEL,BC Public School,44,North Vancouver,,,2011/2012,SIX YEAR DOGWOOD COMPLETION RATE,83.6
DISTRICT LEVEL,BC Public School,45,West Vancouver,,,1999/2000,SIX YEAR DOGWOOD COMPLETION RATE,91.1
DISTRICT LEVEL,BC Public School,45,West Vancouver,,,2000/2001,SIX YEAR DOGWOOD COMPLETION RATE,88.6
DISTRICT LEVEL,BC Public School,45,West Vancouver,,,2001/2002,SIX YEAR DOGWOOD COMPLETION RATE,89.3
DISTRICT LEVEL,BC Public School,45,West Vancouver,,,2002/2003,SIX YEAR DOGWOOD COMPLETION RATE,91
DISTRICT LEVEL,BC Public School,45,West Vancouver,,,2003/2004,SIX YEAR DOGWOOD COMPLETION RATE,89.3
DISTRICT LEVEL,BC Public School,45,West Vancouver,,,2004/2005,SIX YEAR DOGWOOD COMPLETION RATE,91.9
DISTRICT LEVEL,BC Public School,45,West Vancouver,,,2005/2006,SIX YEAR DOGWOOD COMPLETION RATE,91
DISTRICT LEVEL,BC Public School,45,West Vancouver,,,2006/2007,SIX YEAR DOGWOOD COMPLETION RATE,85.7
DISTRICT LEVEL,BC Public School,45,West Vancouver,,,2007/2008,SIX YEAR DOGWOOD COMPLETION RATE,92.7
DISTRICT LEVEL,BC Public School,45,West Vancouver,,,2008/2009,SIX YEAR DOGWOOD COMPLETION RATE,93
DISTRICT LEVEL,BC Public School,45,West Vancouver,,,2009/2010,SIX YEAR DOGWOOD COMPLETION RATE,91.2
DISTRICT LEVEL,BC Public School,45,West Vancouver,,,2010/2011,SIX YEAR DOGWOOD COMPLETION RATE,90.4
DISTRICT LEVEL,BC Public School,45,West Vancouver,,,2011/2012,SIX YEAR DOGWOOD COMPLETION RATE,92.2
DISTRICT LEVEL,BC Public School,46,Sunshine Coast,,,1999/2000,SIX YEAR DOGWOOD COMPLETION RATE,61.5
DISTRICT LEVEL,BC Public School,46,Sunshine Coast,,,2000/2001,SIX YEAR DOGWOOD COMPLETION RATE,76.9
DISTRICT LEVEL,BC Public School,46,Sunshine Coast,,,2001/2002,SIX YEAR DOGWOOD COMPLETION RATE,74.5
DISTRICT LEVEL,BC Public School,46,Sunshine Coast,,,2002/2003,SIX YEAR DOGWOOD COMPLETION RATE,73.3
DISTRICT LEVEL,BC Public School,46,Sunshine Coast,,,2003/2004,SIX YEAR DOGWOOD COMPLETION RATE,74.3
DISTRICT LEVEL,BC Public School,46,Sunshine Coast,,,2004/2005,SIX YEAR DOGWOOD COMPLETION RATE,81.1
DISTRICT LEVEL,BC Public School,46,Sunshine Coast,,,2005/2006,SIX YEAR DOGWOOD COMPLETION RATE,73.7
DISTRICT LEVEL,BC Public School,46,Sunshine Coast,,,2006/2007,SIX YEAR DOGWOOD COMPLETION RATE,73.5
DISTRICT LEVEL,BC Public School,46,Sunshine Coast,,,2007/2008,SIX YEAR DOGWOOD COMPLETION RATE,79.1
DISTRICT LEVEL,BC Public School,46,Sunshine Coast,,,2008/2009,SIX YEAR DOGWOOD COMPLETION RATE,76.2
DISTRICT LEVEL,BC Public School,46,Sunshine Coast,,,2009/2010,SIX YEAR DOGWOOD COMPLETION RATE,79.2
DISTRICT LEVEL,BC Public School,46,Sunshine Coast,,,2010/2011,SIX YEAR DOGWOOD COMPLETION RATE,80.1
DISTRICT LEVEL,BC Public School,46,Sunshine Coast,,,2011/2012,SIX YEAR DOGWOOD COMPLETION RATE,78.9
DISTRICT LEVEL,BC Public School,47,Powell River,,,1999/2000,SIX YEAR DOGWOOD COMPLETION RATE,66.9
DISTRICT LEVEL,BC Public School,47,Powell River,,,2000/2001,SIX YEAR DOGWOOD COMPLETION RATE,72.5
DISTRICT LEVEL,BC Public School,47,Powell River,,,2001/2002,SIX YEAR DOGWOOD COMPLETION RATE,67.1
DISTRICT LEVEL,BC Public School,47,Powell River,,,2002/2003,SIX YEAR DOGWOOD COMPLETION RATE,72.7
DISTRICT LEVEL,BC Public School,47,Powell River,,,2003/2004,SIX YEAR DOGWOOD COMPLETION RATE,76.8
DISTRICT LEVEL,BC Public School,47,Powell River,,,2004/2005,SIX YEAR DOGWOOD COMPLETION RATE,77.5
DISTRICT LEVEL,BC Public School,47,Powell River,,,2005/2006,SIX YEAR DOGWOOD COMPLETION RATE,70.6
DISTRICT LEVEL,BC Public School,47,Powell River,,,2006/2007,SIX YEAR DOGWOOD COMPLETION RATE,66.1
DISTRICT LEVEL,BC Public School,47,Powell River,,,2007/2008,SIX YEAR DOGWOOD COMPLETION RATE,68.8
DISTRICT LEVEL,BC Public School,47,Powell River,,,2008/2009,SIX YEAR DOGWOOD COMPLETION RATE,77
DISTRICT LEVEL,BC Public School,47,Powell River,,,2009/2010,SIX YEAR DOGWOOD COMPLETION RATE,70.5
DISTRICT LEVEL,BC Public School,47,Powell River,,,2010/2011,SIX YEAR DOGWOOD COMPLETION RATE,74.1
DISTRICT LEVEL,BC Public School,47,Powell River,,,2011/2012,SIX YEAR DOGWOOD COMPLETION RATE,74.3
DISTRICT LEVEL,BC Public School,48,Sea to Sky,,,1999/2000,SIX YEAR DOGWOOD COMPLETION RATE,69.8
DISTRICT LEVEL,BC Public School,48,Sea to Sky,,,2000/2001,SIX YEAR DOGWOOD COMPLETION RATE,72.4
DISTRICT LEVEL,BC Public School,48,Sea to Sky,,,2001/2002,SIX YEAR DOGWOOD COMPLETION RATE,74.3
DISTRICT LEVEL,BC Public School,48,Sea to Sky,,,2002/2003,SIX YEAR DOGWOOD COMPLETION RATE,74.3
DISTRICT LEVEL,BC Public School,48,Sea to Sky,,,2003/2004,SIX YEAR DOGWOOD COMPLETION RATE,80.3
DISTRICT LEVEL,BC Public School,48,Sea to Sky,,,2004/2005,SIX YEAR DOGWOOD COMPLETION RATE,78.7
DISTRICT LEVEL,BC Public School,48,Sea to Sky,,,2005/2006,SIX YEAR DOGWOOD COMPLETION RATE,81.6
DISTRICT LEVEL,BC Public School,48,Sea to Sky,,,2006/2007,SIX YEAR DOGWOOD COMPLETION RATE,81.6
DISTRICT LEVEL,BC Public School,48,Sea to Sky,,,2007/2008,SIX YEAR DOGWOOD COMPLETION RATE,80.3
DISTRICT LEVEL,BC Public School,48,Sea to Sky,,,2008/2009,SIX YEAR DOGWOOD COMPLETION RATE,79.2
DISTRICT LEVEL,BC Public School,48,Sea to Sky,,,2009/2010,SIX YEAR DOGWOOD COMPLETION RATE,72.7
DISTRICT LEVEL,BC Public School,48,Sea to Sky,,,2010/2011,SIX YEAR DOGWOOD COMPLETION RATE,79.7
DISTRICT LEVEL,BC Public School,48,Sea to Sky,,,2011/2012,SIX YEAR DOGWOOD COMPLETION RATE,78.7
DISTRICT LEVEL,BC Public School,49,Central Coast,,,1999/2000,SIX YEAR DOGWOOD COMPLETION RATE,58.3
DISTRICT LEVEL,BC Public School,49,Central Coast,,,2000/2001,SIX YEAR DOGWOOD COMPLETION RATE,60.5
DISTRICT LEVEL,BC Public School,49,Central Coast,,,2001/2002,SIX YEAR DOGWOOD COMPLETION RATE,75.7
DISTRICT LEVEL,BC Public School,49,Central Coast,,,2002/2003,SIX YEAR DOGWOOD COMPLETION RATE,62.1
DISTRICT LEVEL,BC Public School,49,Central Coast,,,2003/2004,SIX YEAR DOGWOOD COMPLETION RATE,53.9
DISTRICT LEVEL,BC Public School,49,Central Coast,,,2004/2005,SIX YEAR DOGWOOD COMPLETION RATE,70.6
DISTRICT LEVEL,BC Public School,49,Central Coast,,,2005/2006,SIX YEAR DOGWOOD COMPLETION RATE,63.2
DISTRICT LEVEL,BC Public School,49,Central Coast,,,2006/2007,SIX YEAR DOGWOOD COMPLETION RATE,67.2
DISTRICT LEVEL,BC Public School,49,Central Coast,,,2007/2008,SIX YEAR DOGWOOD COMPLETION RATE,69.6
DISTRICT LEVEL,BC Public School,49,Central Coast,,,2008/2009,SIX YEAR DOGWOOD COMPLETION RATE,79.4
DISTRICT LEVEL,BC Public School,49,Central Coast,,,2009/2010,SIX YEAR DOGWOOD COMPLETION RATE,82.8
DISTRICT LEVEL,BC Public School,49,Central Coast,,,2010/2011,SIX YEAR DOGWOOD COMPLETION RATE,66
DISTRICT LEVEL,BC Public School,49,Central Coast,,,2011/2012,SIX YEAR DOGWOOD COMPLETION RATE,55.1
DISTRICT LEVEL,BC Public School,50,Haida Gwaii,,,1999/2000,SIX YEAR DOGWOOD COMPLETION RATE,68.8
DISTRICT LEVEL,BC Public School,50,Haida Gwaii,,,2000/2001,SIX YEAR DOGWOOD COMPLETION RATE,58.8
DISTRICT LEVEL,BC Public School,50,Haida Gwaii,,,2001/2002,SIX YEAR DOGWOOD COMPLETION RATE,50.7
DISTRICT LEVEL,BC Public School,50,Haida Gwaii,,,2002/2003,SIX YEAR DOGWOOD COMPLETION RATE,54.5
DISTRICT LEVEL,BC Public School,50,Haida Gwaii,,,2003/2004,SIX YEAR DOGWOOD COMPLETION RATE,59.7
DISTRICT LEVEL,BC Public School,50,Haida Gwaii,,,2004/2005,SIX YEAR DOGWOOD COMPLETION RATE,63.3
DISTRICT LEVEL,BC Public School,50,Haida Gwaii,,,2005/2006,SIX YEAR DOGWOOD COMPLETION RATE,54.9
DISTRICT LEVEL,BC Public School,50,Haida Gwaii,,,2006/2007,SIX YEAR DOGWOOD COMPLETION RATE,37.4
DISTRICT LEVEL,BC Public School,50,Haida Gwaii,,,2007/2008,SIX YEAR DOGWOOD COMPLETION RATE,49.6
DISTRICT LEVEL,BC Public School,50,Haida Gwaii,,,2008/2009,SIX YEAR DOGWOOD COMPLETION RATE,55.2
DISTRICT LEVEL,BC Public School,50,Haida Gwaii,,,2009/2010,SIX YEAR DOGWOOD COMPLETION RATE,57.9
DISTRICT LEVEL,BC Public School,50,Haida Gwaii,,,2010/2011,SIX YEAR DOGWOOD COMPLETION RATE,58.9
DISTRICT LEVEL,BC Public School,50,Haida Gwaii,,,2011/2012,SIX YEAR DOGWOOD COMPLETION RATE,67.2
DISTRICT LEVEL,BC Public School,51,Boundary,,,1999/2000,SIX YEAR DOGWOOD COMPLETION RATE,72.7
DISTRICT LEVEL,BC Public School,51,Boundary,,,2000/2001,SIX YEAR DOGWOOD COMPLETION RATE,79.6
DISTRICT LEVEL,BC Public School,51,Boundary,,,2001/2002,SIX YEAR DOGWOOD COMPLETION RATE,78.9
DISTRICT LEVEL,BC Public School,51,Boundary,,,2002/2003,SIX YEAR DOGWOOD COMPLETION RATE,89.8
DISTRICT LEVEL,BC Public School,51,Boundary,,,2003/2004,SIX YEAR DOGWOOD COMPLETION RATE,78.7
DISTRICT LEVEL,BC Public School,51,Boundary,,,2004/2005,SIX YEAR DOGWOOD COMPLETION RATE,85
DISTRICT LEVEL,BC Public School,51,Boundary,,,2005/2006,SIX YEAR DOGWOOD COMPLETION RATE,80.7
DISTRICT LEVEL,BC Public School,51,Boundary,,,2006/2007,SIX YEAR DOGWOOD COMPLETION RATE,81.1
DISTRICT LEVEL,BC Public School,51,Boundary,,,2007/2008,SIX YEAR DOGWOOD COMPLETION RATE,84
DISTRICT LEVEL,BC Public School,51,Boundary,,,2008/2009,SIX YEAR DOGWOOD COMPLETION RATE,83.8
DISTRICT LEVEL,BC Public School,51,Boundary,,,2009/2010,SIX YEAR DOGWOOD COMPLETION RATE,85.4
DISTRICT LEVEL,BC Public School,51,Boundary,,,2010/2011,SIX YEAR DOGWOOD COMPLETION RATE,94.2
DISTRICT LEVEL,BC Public School,51,Boundary,,,2011/2012,SIX YEAR DOGWOOD COMPLETION RATE,93.7
DISTRICT LEVEL,BC Public School,52,Prince Rupert,,,1999/2000,SIX YEAR DOGWOOD COMPLETION RATE,58.6
DISTRICT LEVEL,BC Public School,52,Prince Rupert,,,2000/2001,SIX YEAR DOGWOOD COMPLETION RATE,63.6
DISTRICT LEVEL,BC Public School,52,Prince Rupert,,,2001/2002,SIX YEAR DOGWOOD COMPLETION RATE,69.6
DISTRICT LEVEL,BC Public School,52,Prince Rupert,,,2002/2003,SIX YEAR DOGWOOD COMPLETION RATE,64.7
DISTRICT LEVEL,BC Public School,52,Prince Rupert,,,2003/2004,SIX YEAR DOGWOOD COMPLETION RATE,73.9
DISTRICT LEVEL,BC Public School,52,Prince Rupert,,,2004/2005,SIX YEAR DOGWOOD COMPLETION RATE,75.9
DISTRICT LEVEL,BC Public School,52,Prince Rupert,,,2005/2006,SIX YEAR DOGWOOD COMPLETION RATE,67
DISTRICT LEVEL,BC Public School,52,Prince Rupert,,,2006/2007,SIX YEAR DOGWOOD COMPLETION RATE,66.9
DISTRICT LEVEL,BC Public School,52,Prince Rupert,,,2007/2008,SIX YEAR DOGWOOD COMPLETION RATE,63.2
DISTRICT LEVEL,BC Public School,52,Prince Rupert,,,2008/2009,SIX YEAR DOGWOOD COMPLETION RATE,61.3
DISTRICT LEVEL,BC Public School,52,Prince Rupert,,,2009/2010,SIX YEAR DOGWOOD COMPLETION RATE,57.7
DISTRICT LEVEL,BC Public School,52,Prince Rupert,,,2010/2011,SIX YEAR DOGWOOD COMPLETION RATE,63.5
DISTRICT LEVEL,BC Public School,52,Prince Rupert,,,2011/2012,SIX YEAR DOGWOOD COMPLETION RATE,67.3
DISTRICT LEVEL,BC Public School,53,Okanagan Similkameen,,,1999/2000,SIX YEAR DOGWOOD COMPLETION RATE,73.2
DISTRICT LEVEL,BC Public School,53,Okanagan Similkameen,,,2000/2001,SIX YEAR DOGWOOD COMPLETION RATE,67.6
DISTRICT LEVEL,BC Public School,53,Okanagan Similkameen,,,2001/2002,SIX YEAR DOGWOOD COMPLETION RATE,79.4
DISTRICT LEVEL,BC Public School,53,Okanagan Similkameen,,,2002/2003,SIX YEAR DOGWOOD COMPLETION RATE,71.8
DISTRICT LEVEL,BC Public School,53,Okanagan Similkameen,,,2003/2004,SIX YEAR DOGWOOD COMPLETION RATE,75.4
DISTRICT LEVEL,BC Public School,53,Okanagan Similkameen,,,2004/2005,SIX YEAR DOGWOOD COMPLETION RATE,81.5
DISTRICT LEVEL,BC Public School,53,Okanagan Similkameen,,,2005/2006,SIX YEAR DOGWOOD COMPLETION RATE,76.8
DISTRICT LEVEL,BC Public School,53,Okanagan Similkameen,,,2006/2007,SIX YEAR DOGWOOD COMPLETION RATE,75.6
DISTRICT LEVEL,BC Public School,53,Okanagan Similkameen,,,2007/2008,SIX YEAR DOGWOOD COMPLETION RATE,74.8
DISTRICT LEVEL,BC Public School,53,Okanagan Similkameen,,,2008/2009,SIX YEAR DOGWOOD COMPLETION RATE,73.3
DISTRICT LEVEL,BC Public School,53,Okanagan Similkameen,,,2009/2010,SIX YEAR DOGWOOD COMPLETION RATE,70.1
DISTRICT LEVEL,BC Public School,53,Okanagan Similkameen,,,2010/2011,SIX YEAR DOGWOOD COMPLETION RATE,73
DISTRICT LEVEL,BC Public School,53,Okanagan Similkameen,,,2011/2012,SIX YEAR DOGWOOD COMPLETION RATE,70.3
DISTRICT LEVEL,BC Public School,54,Bulkley Valley,,,1999/2000,SIX YEAR DOGWOOD COMPLETION RATE,71.4
DISTRICT LEVEL,BC Public School,54,Bulkley Valley,,,2000/2001,SIX YEAR DOGWOOD COMPLETION RATE,72.7
DISTRICT LEVEL,BC Public School,54,Bulkley Valley,,,2001/2002,SIX YEAR DOGWOOD COMPLETION RATE,73.2
