SCHOOL_YEAR,PUBLIC_OR_INDEPENDENT,DISTRICT_NUMBER,DISTRICT_NAME,SCHOOL_NUMBER,SCHOOL_NAME,SCHOOL_FACILITY_TYPE,SCHOOL_PHYSICAL_ADDRESS,SCHOOL_CITY,SCHOOL_PROVINCE,SCHOOL_POSTAL_CODE,SCHOOL_PHONE_NUMBER,SCHOOL_FAX_NUMBER,SCHOOL_LATITUDE,SCHOOL_LONGITUDE,ORGANIZATION_EDUCATION_LEVEL,GRADE_STRING,HAS_ELEMENTARY_GRADES_FLAG,HAS_SECONDARY_GRADES_FLAG
2011/2012,BC Public School,36,Surrey,3636142,Fraser Wood Elementary,Standard,10650 164 St,Surrey,BC,V4N1W8,604 589-6442,604 930-9243,49.1965,-122.767,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,36,Surrey,3636143,Serpentine Heights Elementary,Standard,16126 93A Ave,Surrey,BC,V4N3A2,604 589-6322,604 583-7692,49.1732,-122.775,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,36,Surrey,3636144,Boundary Park Elementary,Standard,12332 North Boundary Dr,Surrey,BC,V3X1Z6,604 543-8158,604 543-5197,49.1173,-122.881,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,36,Surrey,3636145,Woodland Park Elementary,Standard,9025 158 St,Surrey,BC,V4N2Y6,604 589-5957,604 589-5397,49.1669,-122.785,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,36,Surrey,3636146,Brookside Elementary,Standard,8555 142A St,Surrey,BC,V3W0S6,604 596-8561,604 599-0781,49.1581,-122.827,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,36,Surrey,3636147,Westerman Elementary,Standard,7626 122 St,Surrey,BC,V3W1H4,604 572-4054,604 572-6197,49.1418,-122.884,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,36,Surrey,3636148,Chantrell Creek Elementary,Standard,2575 137 St,Surrey,BC,V4P2K5,604 535-6708,604 538-5855,49.0489,-122.846,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,36,Surrey,3636149,Sunrise Ridge Elementary,Standard,18690 60 Ave,Surrey,BC,V3S8L8,604 576-3000,604 576-9511,49.1112,-122.705,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,36,Surrey,3636150,Tamanawis Secondary,Standard,12600 66 Ave,Surrey,BC,V3W2A8,604 597-5234,604 597-4450,49.1225,-122.873,SECONDARY,12-Aug,FALSE,TRUE
2011/2012,BC Public School,36,Surrey,3636151,Cambridge Elementary,Standard,6115 150 St,Surrey,BC,V3S3H7,604 595-4036,604 595-4039,49.1142,-122.807,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,36,Surrey,3636152,Walnut Road Elementary,Standard,16152 82 Ave,Surrey,BC,V4N0N5,604 572-6617,604 572-6574,49.1515,-122.774,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,36,Surrey,3636153,Adams Road Elementary,Standard,18228 68 Ave,Surrey,BC,V3S9H5,604 595-1070,604 595-1071,49.1259,-122.717,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,36,Surrey,3636155,Coast Meridian Elementary,Standard,8222 168A St,Surrey,BC,V4N4T8,604 574-6036,604 574-8126,49.1526,-122.755,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,36,Surrey,3636156,Elgin Park Secondary,Standard,13484 24 Ave,Surrey,BC,V4A2G5,604 538-6678,604 538-6491,49.0455,-122.849,SECONDARY,12-Aug,FALSE,TRUE
2011/2012,BC Public School,36,Surrey,3636157,Coyote Creek Elementary,Standard,8131 156 St,Surrey,BC,V3S3R4,604 597-0858,604 597-8274,49.1505,-122.79,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,36,Surrey,3636158,Beaver Creek Elementary,Standard,6505 123A St,Surrey,BC,V3W5Y5,604 572-6911,604 572-1379,49.1214,-122.88,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,36,Surrey,3636159,Dogwood Elementary,Standard,10752 157 St,Surrey,BC,V4N1K6,604 581-8111,604 581-8219,49.198,-122.786,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,36,Surrey,3636160,Frost Road Elementary,Standard,8606 162 St,Surrey,BC,V4N1B4,604 572-4050,604 572-7569,49.1595,-122.773,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,36,Surrey,3636161,Semiahmoo Trail Elementary,Standard,3040 145A St,Surrey,BC,V4P1P8,604 531-6063,604 531-7438,49.0578,-122.82,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,36,Surrey,3636162,Bayridge Elementary,Standard,1730 142 St,Surrey,BC,V4A6G7,604 531-8082,604 541-7963,49.0337,-122.828,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,36,Surrey,3636164,Sullivan Heights Secondary,Standard,6248 144 St,Surrey,BC,V3X1A1,604 543-8749,604 543-9684,49.1175,-122.823,SECONDARY,12-Aug,FALSE,TRUE
2011/2012,BC Public School,36,Surrey,3636165,Chimney Hill Elementary,Standard,14755 74 Ave,Surrey,BC,V3S8Y8,604 592-2913,604 592-4010,49.1373,-122.813,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,36,Surrey,3636167,Fleetwood Park Secondary,Standard,7940 156 St,Surrey,BC,V3S3R3,604 597-2301,604 597-6481,49.1477,-122.79,SECONDARY,12-Aug,FALSE,TRUE
2011/2012,BC Public School,36,Surrey,3636170,Ocean Cliff Elementary,Standard,12550 20 Ave,Surrey,BC,V4A1Y6,604 538-1770,604 538-2431,49.0383,-122.875,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,36,Surrey,3636172,William F. Davidson Elementary,Standard,15550 99A Ave,Surrey,BC,V3R9H5,604 584-7688,604 584-9010,49.1812,-122.8,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,36,Surrey,3636173,Bothwell Elementary School,Standard,17070 102 Ave,Surrey,BC,V4N4N6,604 589-0369,604 581-5345,49.1799,-122.807,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,36,Surrey,3636174,Kirkbride Elementary,Standard,12150 92 Ave,Surrey,BC,V3V1G2,604 588-5711,604 588-0577,49.1702,-122.886,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,36,Surrey,3636175,Clayton Heights Secondary,Standard,7003 188 St,Surrey,BC,V4N3G6,604 576-4138,604 576-4793,49.1296,-122.702,SECONDARY,12-Aug,FALSE,TRUE
2011/2012,BC Public School,36,Surrey,3636176,Hillcrest Elementary,Standard,18599 65 Ave,Surrey,BC,V3S8T2,604 575-1359,604 575-0853,49.1207,-122.707,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,36,Surrey,3636178,A J McLellan Elementary,Standard,16545 61 Ave,Surrey,BC,V3S5V4,604 574-7296,604 574-9073,49.1134,-122.764,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,36,Surrey,3636183,Forsyth Road Elementary,Standard,10730 139 St,Surrey,BC,V3T4L9,604 588-8394,604 930-1783,49.1977,-122.837,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,36,Surrey,3636186,Janice Churchill Elementary,Standard,8226 146 St,Surrey,BC,V3S3A5,604 543-7187,604 543-0236,49.1522,-122.817,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,36,Surrey,3636188,Morgan Elementary,Standard,3366 156A St,Surrey,BC,V3S9Y7,604 531-8426,604 531-8159,49.063,-122.789,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,36,Surrey,3636189,Rosemary Heights Elementary,Standard,15516 36 Ave,Surrey,BC,V3S0J5,604 541-1613,604 531-0448,49.0673,-122.793,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,36,Surrey,3636203,Hazelgrove Elementary,Standard,7057 - 191 Street,Surrey,BC,V4N6E5,604 574-0044,604 574-2760,49.1307,-122.6942,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,36,Surrey,3636212,Woodward Hill Elementary,Standard,6082 142 St,Surrey,BC,V3X1C1,604 594-2408,604 594-2336,49.1138,-122.829,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,36,Surrey,3636232,Panorama Ridge Secondary,Standard,13220 64 Ave,Surrey,BC,V3W1X9,604 595-8890,604 595-8891,49.1189,-122.855,SECONDARY,12-Aug,FALSE,TRUE
2011/2012,BC Public School,36,Surrey,3636246,Princess Margaret Secondary,Standard,12870 72 Ave,Surrey,BC,V3W2M9,604 594-5458,604 594-4689,49.1332,-122.866,SECONDARY,12-Aug,FALSE,TRUE
2011/2012,BC Public School,36,Surrey,3636248,Kwantlen Park Secondary,Standard,10441 132 St,Surrey,BC,V3T3V3,604 588-6934,604 588-2139,49.1925,-122.856,ELEMENTARY SECONDARY,12-Jul,TRUE,TRUE
2011/2012,BC Public School,36,Surrey,3699008,Education Services,Alternate,12772 88 Ave,Surrey,BC,V3W3J9,604 596-9325,604 596-7829,49.1626,-122.869,ELEMENTARY SECONDARY,12-Jun,TRUE,TRUE
2011/2012,BC Public School,36,Surrey,3699057,South Surrey White Rock Learning Centre,Alternate,13 2320 King George Hwy,Surrey,BC,V4A5A5,604 536-0550,604 535-8046,49.0448,-122.792,SECONDARY,12-Oct,FALSE,TRUE
2011/2012,BC Public School,36,Surrey,3699059,Cloverdale Learning Centre,Alternate,5741 176 Street,Surrey,BC,V3S4C9,604 574-3615,604 574-9803,49.1067,-122.735,SECONDARY,12-Oct,FALSE,TRUE
2011/2012,BC Public School,36,Surrey,3699062,North Surrey Learning Centre,Alternate,13479 77 Ave Unit 109,Surrey,BC,V3W6Y1,778 578-7707,778 578-7145,49.1711,-122.835,SECONDARY,12-Oct,FALSE,TRUE
2011/2012,BC Public School,36,Surrey,3699064,Guildford Learning Centre,Alternate,10215 152A St,Surrey,BC,V3R4H6,604 951-9553,604 951-8982,49.188,-122.8,SECONDARY,12-Aug,FALSE,TRUE
2011/2012,BC Public School,36,Surrey,3699121,Newton Learning Centre,Alternate,102 6329 King George Hwy,Surrey,BC,V3X1G1,604 590-4658,604 501-0736,49.1177,-122.846,SECONDARY,12-Oct,FALSE,TRUE
2011/2012,BC Public School,36,Surrey,3699142,Surrey Connect Secondary,District Distance Ed,7542 134A St,Surrey,BC,V3W7J1,604 592-4263,604 590-2588,49.14,-122.85,SECONDARY,12-Mar,TRUE,TRUE
2011/2012,BC Public School,36,Surrey,3699221,Surrey Connect Elementary,District Distance Ed,19233 60 Ave,Surrey,BC,V3S2T5,778 571-2223,778 571-2273,49.11143,-122.69094,ELEMENTARY JR SECONDARY,K-9,TRUE,TRUE
2011/2012,BC Public School,37,Delta,3737000,Delta Continuing Education,Continuing Ed,4585 Harvest Dr,Delta,BC,V4K5B4,604 946-4101,604 940-5520,49.0866,-123.064,SECONDARY,12,FALSE,TRUE
2011/2012,BC Public School,37,Delta,3737001,Ladner Elementary,Standard,5016 44 Ave,Delta,BC,V4K1C1,604 946-4158,604 946-4150,49.0828,-123.085,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,37,Delta,3737003,Delta Secondary,Standard,4615 51 St,Delta,BC,V4K2V8,604 946-4194,604 946-5162,49.0863,-123.083,SECONDARY,12-Aug,FALSE,TRUE
2011/2012,BC Public School,37,Delta,3737007,Richardson Elementary,Standard,11339 83 Ave,Delta,BC,V4C7B9,604 596-7481,604 594-3164,49.1549,-122.909,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,37,Delta,3737008,Heath Traditional Elementary,Standard,11364 72 Ave,Delta,BC,V4E1Y5,604 596-1508,604 596-1643,49.1336,-122.908,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,37,Delta,3737009,Annieville Elementary,Standard,9240 112 St,Delta,BC,V4C4X8,604 588-1204,604 588-1206,49.1705,-122.91,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,37,Delta,3737012,North Delta Secondary,Standard,11447 82 Ave,Delta,BC,V4C5J6,604 596-7471,604 596-6192,49.1536,-122.906,SECONDARY,12-Aug,FALSE,TRUE
2011/2012,BC Public School,37,Delta,3737013,Sunshine Hills Elementary,Standard,11285 Bond Blvd,Delta,BC,V4E1N3,604 594-8491,604 594-3815,49.1235,-122.91,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,37,Delta,3737014,English Bluff Elementary,Standard,402 English Bluff Rd,Delta,BC,V4M2N2,604 943-0201,604 943-9421,49.01,-123.09,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,37,Delta,3737015,Cliff Drive Elementary,Standard,5025 12 Ave,Delta,BC,V4M2A7,604 943-2244,604 943-8574,49.0253,-123.085,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,37,Delta,3737017,Devon Gardens Elementary,Standard,8884 Russell Dr,Delta,BC,V4C4P8,604 581-6185,604 581-0074,49.1649,-122.915,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,37,Delta,3737018,South Park Elementary,Standard,735 Gilchrist Dr,Delta,BC,V4M3L4,604 943-1105,604 943-5019,49.016,-123.07,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,37,Delta,3737019,Beach Grove Elementary,Standard,5955 17a Ave,Delta,BC,V4L1J7,604 943-0108,604 943-0166,49.0348,-123.059,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,37,Delta,3737021,Delview Secondary,Standard,9111 116 St,Delta,BC,V4C5W8,604 594-5491,604 597-4374,49.1689,-122.902,SECONDARY,12-Aug,FALSE,TRUE
2011/2012,BC Public School,37,Delta,3737022,Chalmers Elementary,Standard,11315 75 Ave,Delta,BC,V4C1H4,604 594-5437,604 594-5391,49.1401,-122.909,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,37,Delta,3737023,Hellings Elementary,Standard,11655 86 Ave,Delta,BC,V4C2X5,604 596-1701,604 572-5976,49.1604,-122.9,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,37,Delta,3737024,Gray Elementary,Standard,10855 80 Ave,Delta,BC,V4C1W4,604 594-2474,604 594-1731,49.1491,-122.92,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,37,Delta,3737025,Hawthorne Elementary,Standard,5160 Central Ave,Delta,BC,V4K2H2,604 946-7601,604 946-3016,49.0969,-123.073,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,37,Delta,3737026,Gibson Elementary,Standard,11451 90 Ave,Delta,BC,V4C3H3,604 594-7588,604 572-5971,49.1675,-122.904,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,37,Delta,3737027,Pebble Hill Traditional Elementary,Standard,246 52A St,Delta,BC,V4M2Z8,604 943-0228,604 943-8276,49.0072,-123.078,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,37,Delta,3737029,Brooke Elementary,Standard,8718 Delwood Dr,Delta,BC,V4C3Z9,604 583-6668,604 583-2503,49.1618,-122.925,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,37,Delta,3737030,Jarvis Traditional Elementary,Standard,7670 118 St,Delta,BC,V4C6G8,604 594-3484,604 597-2516,49.1431,-122.895,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,37,Delta,3737032,McCloskey Elementary,Standard,11531 80 Ave,Delta,BC,V4C1X5,604 596-9554,604 596-5286,49.1495,-122.904,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,37,Delta,3737033,Port Guichon Elementary,Standard,4381 46a St,Delta,BC,V4K2M2,604 946-0321,604 946-0322,49.0807,-123.095,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,37,Delta,3737034,Burnsview Secondary,Standard,7658 112 St,Delta,BC,V4C4V8,604 594-0491,604 594-6352,49.1421,-122.912,SECONDARY,12-Aug,FALSE,TRUE
2011/2012,BC Public School,37,Delta,3737035,Holly Elementary,Standard,4625 62 St,Delta,BC,V4K3L8,604 946-0218,604 946-8375,49.0872,-123.046,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,37,Delta,3737037,South Delta Secondary,Standard,750 53 St,Delta,BC,V4M3B7,604 943-7407,604 943-7405,49.0162,-123.077,SECONDARY,12-Aug,FALSE,TRUE
2011/2012,BC Public School,37,Delta,3737038,Sands Secondary,Standard,10840 82 Ave,Delta,BC,V4C2B3,604 594-3474,604 594-1145,49.1519,-122.922,SECONDARY,12-Aug,FALSE,TRUE
2011/2012,BC Public School,37,Delta,3737039,Cougar Canyon Elementary,Standard,11664 Lyon Rd,Delta,BC,V4E2K4,604 591-8676,604 597-2361,49.1265,-122.9,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,37,Delta,3737040,Seaquam Secondary,Standard,11584 Lyon Rd,Delta,BC,V4E2K4,604 591-6166,604 591-5800,49.1276,-122.903,SECONDARY,12-Aug,FALSE,TRUE
2011/2012,BC Public School,37,Delta,3737041,Pinewood Elementary,Standard,11777 Pinewood Dr,Delta,BC,V4E3E9,604 590-3357,604 597-4881,49.1146,-122.897,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,37,Delta,3737043,Neilson Grove Elementary,Standard,5500 Admiral Blvd,Delta,BC,V4K5B7,604 940-4468,604 940-0414,49.1043,-123.072,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,37,Delta,3799141,Home Quest,District Distance Ed,11777 Pinewood Dr,Delta,BC,V4E3E9,604 946-4101,604 940-5520,49.1146,-122.897,ELEMENTARY JR SECONDARY,K-8,TRUE,TRUE
2011/2012,BC Public School,37,Delta,3799170,Delta Access,District Distance Ed,9111 116 St,Delta,BC,V4C5W8,604 946-4101,604 940-5520,49.1688,-122.901,SECONDARY,12-Nov,FALSE,TRUE
2011/2012,BC Public School,38,Richmond,3838000,Continuing Ed SD 38,Continuing Ed,7811 Granville Ave,Richmond,BC,V6Y3E3,604 668-6123,604 668-6200,49.1629,-123.138,SECONDARY,12-Aug,FALSE,TRUE
2011/2012,BC Public School,38,Richmond,3838001,Mitchell Elementary,Standard,12091 Cambie Rd,Richmond,BC,V6V1G5,604 668-6225,604 668-6233,49.1847,-123.089,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,38,Richmond,3838005,Lord Byng Elementary,Standard,3711 Georgia St,Richmond,BC,V7E6M3,604 668-6649,604 668-6657,49.1303,-123.184,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,38,Richmond,3838006,Hamilton Elementary,Standard,5180 Smith Dr,Richmond,BC,V6V2W5,604 668-6514,604 668-6516,49.176,-122.966,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,38,Richmond,3838008,Garden City Elementary,Standard,8311 Garden City Rd,Richmond,BC,V6Y2P1,604 668-7855,604 668-6274,49.1526,-123.125,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,38,Richmond,3838009,R M Grauer Elementary,Standard,4440 Blundell Rd,Richmond,BC,V7C1G9,604 668-6547,604 668-6555,49.1556,-123.175,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,38,Richmond,3838010,Sea Island Elementary,Standard,1891 Wellington Cres,Richmond,BC,V7B1G6,604 668-6468,604 718-4087,49.1909,-123.149,ELEMENTARY,K-3,TRUE,FALSE
2011/2012,BC Public School,38,Richmond,3838013,James Thompson Elementary,Standard,6211 Forsyth Cres,Richmond,BC,V7C2C4,604 668-6420,604 668-6490,49.1691,-123.178,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,38,Richmond,3838014,Blundell Elementary,Standard,6480 Blundell Rd,Richmond,BC,V7C1H8,604 668-6562,604 668-6214,49.1555,-123.153,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,38,Richmond,3838015,William Cook Elementary,Standard,8600 Cook Rd,Richmond,BC,V6Y1V7,604 668-6454,604 668-6137,49.1664,-123.129,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,38,Richmond,3838016,James Whiteside Elementary,Standard,9282 Williams Rd,Richmond,BC,V7A1H1,604 668-6209,604 668-6419,49.1407,-123.12,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,38,Richmond,3838017,Robert J Tait Elementary,Standard,10071 Finlayson Dr,Richmond,BC,V6X1W7,604 668-6444,604 668-6570,49.1959,-123.112,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,38,Richmond,3838019,Thomas Kidd Elementary,Standard,10851 Shell Rd,Richmond,BC,V7A3W6,604 668-6602,604 668-6102,49.1343,-123.103,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,38,Richmond,3838020,Alfred B Dixon Elementary,Standard,9331 Diamond Rd,Richmond,BC,V7E1P5,604 668-6608,604 668-6574,49.1442,-123.184,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,38,Richmond,3838021,John T Errington Elementary,Standard,9831 Herbert Rd,Richmond,BC,V7A1T6,604 668-6699,604 668-6698,49.1431,-123.141,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,38,Richmond,3838023,Tomsett Elementary,Standard,9671 Odlin Rd,Richmond,BC,V6X1E1,604 668-6448,604 668-6172,49.1819,-123.117,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,38,Richmond,3838024,R C Palmer Secondary,Standard,8160 St. Albans Rd,Richmond,BC,V6Y2K9,604 668-6288,604 668-6488,49.1539,-123.131,SECONDARY,12-Aug,FALSE,TRUE
2011/2012,BC Public School,38,Richmond,3838025,James Gilmore Elementary,Standard,8380 Elsmore Rd,Richmond,BC,V7C2A1,604 668-6268,604 668-6134,49.1519,-123.189,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,38,Richmond,3838026,Walter Lee Elementary,Standard,9491 Ash St,Richmond,BC,V7A2T7,604 668-6269,604 668-6414,49.1441,-123.12,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,38,Richmond,3838027,W D Ferris Elementary,Standard,7520 Sunnymede Cres,Richmond,BC,V6Y2V8,604 668-6538,604 668-6546,49.1546,-123.144,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,38,Richmond,3838029,Daniel Woodward Elementary,Standard,10300 Seacote Rd,Richmond,BC,V7A4B2,604 668-6296,604 668-6247,49.1381,-123.098,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,38,Richmond,3838030,Donald E McKay Elementary,Standard,7360 Lombard Rd,Richmond,BC,V7C3N1,604 668-6470,604 668-6572,49.1587,-123.167,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,38,Richmond,3838031,Hugh Boyd Secondary,Standard,9200 No. 1 Rd,Richmond,BC,V7E6L5,604 668-6615,604 668-6569,49.1466,-123.181,SECONDARY,12-Aug,FALSE,TRUE
2011/2012,BC Public School,38,Richmond,3838033,Hugh McRoberts Secondary,Standard,8980 Williams Rd,Richmond,BC,V7A1G6,604 668-6600,604 668-6601,49.1407,-123.126,SECONDARY,12-Aug,FALSE,TRUE
2011/2012,BC Public School,38,Richmond,3838035,Samuel Brighouse Elementary,Standard,6800 Azure Rd,Richmond,BC,V7C2S8,604 668-6522,604 668-6418,49.166,-123.15,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,38,Richmond,3838037,Howard De Beck Elementary,Standard,8600 Ash St,Richmond,BC,V6Y2S3,604 668-6281,604 668-6004,49.1508,-123.12,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,38,Richmond,3838040,James McKinney Elementary,Standard,10451 Lassam Rd,Richmond,BC,V7E2C2,604 668-6133,604 668-6691,49.1368,-123.164,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,38,Richmond,3838041,Manoah Steves Elementary,Standard,10111 Fourth Ave,Richmond,BC,V7E1V5,604 668-6660,604 668-6666,49.1399,-123.187,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,38,Richmond,3838042,J N Burnett Secondary,Standard,5011 Granville Ave,Richmond,BC,V7C1E6,604 668-6478,604 668-6484,49.1627,-123.169,SECONDARY,12-Aug,FALSE,TRUE
2011/2012,BC Public School,38,Richmond,3838043,William Bridge Elementary,Standard,10400 Leonard Rd,Richmond,BC,V7A2N5,604 668-6236,604 668-6483,49.1368,-123.134,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,38,Richmond,3838044,Matthew McNair Secondary,Standard,9500 No. 4 Rd,Richmond,BC,V7A2Y9,604 668-6575,604 668-6585,49.1428,-123.114,SECONDARY,12-Aug,FALSE,TRUE
2011/2012,BC Public School,38,Richmond,3838045,Steveston-London Secondary,Standard,6600 Williams Rd,Richmond,BC,V7E1K5,604 668-6668,604 668-6672,49.1409,-123.15,SECONDARY,12-Aug,FALSE,TRUE
2011/2012,BC Public School,38,Richmond,3838046,Maple Lane Elementary,Standard,7671 Alouette Dr,Richmond,BC,V7A4P2,604 668-6692,604 668-6192,49.1373,-123.141,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,38,Richmond,3838047,Quilchena Elementary,Standard,3760 Moresby Dr,Richmond,BC,V7C4G6,604 668-6224,604 668-6117,49.1595,-123.185,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,38,Richmond,3838048,Kingswood Elementary,Standard,11511 King Rd,Richmond,BC,V7A3B5,604 668-6280,604 668-6142,49.1444,-123.095,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,38,Richmond,3838049,Westwind Elementary,Standard,11371 Kingfisher Dr,Richmond,BC,V7E4Y6,604 668-6497,604 668-6292,49.1302,-123.163,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,38,Richmond,3838052,John G Diefenbaker Elementary,Standard,4511 Hermitage Dr,Richmond,BC,V7E4T1,604 668-6639,604 668-6645,49.1372,-123.176,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,38,Richmond,3838053,Tomekichi Homma Elementary,Standard,5100 Brunswick Dr,Richmond,BC,V7E6K9,604 668-7844,604 668-6412,49.1235,-123.168,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,38,Richmond,3838054,R. C. Talmey Elementary,Standard,9500 Kilby Dr,Richmond,BC,V6X3N1,604 668-6275,604 668-6173,49.1885,-123.119,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,38,Richmond,3838055,Kathleen McNeely Elementary,Standard,12440 Woodhead Rd,Richmond,BC,V6V1G3,604 668-6250,604 668-6255,49.1822,-123.087,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,38,Richmond,3838056,Jessie Wowk Elementary,Standard,5380 Woodwards Rd,Richmond,BC,V7E1H1,604 668-6198,604 668-6118,49.1438,-123.164,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,38,Richmond,3838057,General Currie Elementary,Standard,8220 General Currie Rd,Richmond,BC,V6Y1M1,604 668-6440,604 668-6109,49.1591,-123.134,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,38,Richmond,3838058,Cambie Secondary,Standard,4151 Jacombs Rd,Richmond,BC,V6V1N7,604 668-6430,604 668-6132,49.1833,-123.08,SECONDARY,12-Aug,FALSE,TRUE
2011/2012,BC Public School,38,Richmond,3838059,Henry Anderson Elementary,Standard,9460 Alberta Rd,Richmond,BC,V6Y1T6,604 668-6355,604 668-6354,49.1656,-123.119,ELEMENTARY,K-7,TRUE,FALSE
