SCHOOL_YEAR,PUBLIC_OR_INDEPENDENT,DISTRICT_NUMBER,DISTRICT_NAME,SCHOOL_NUMBER,SCHOOL_NAME,SCHOOL_FACILITY_TYPE,SCHOOL_PHYSICAL_ADDRESS,SCHOOL_CITY,SCHOOL_PROVINCE,SCHOOL_POSTAL_CODE,SCHOOL_PHONE_NUMBER,SCHOOL_FAX_NUMBER,SCHOOL_LATITUDE,SCHOOL_LONGITUDE,ORGANIZATION_EDUCATION_LEVEL,GRADE_STRING,HAS_ELEMENTARY_GRADES_FLAG,HAS_SECONDARY_GRADES_FLAG
2011/2012,BC Public School,6,Rocky Mountain,604013,Martin Morigeau Elementary,Standard,4891 Beatty Ave,Canal Flats,BC,V0B1B0,250 349-5665,250 349-5497,50.1606,-115.817,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,6,Rocky Mountain,604014,Eileen Madson Primary School,Standard,2001 15th Ave RR 4,Invermere,BC,V0A1K4,250 342-9315,250 342-6362,50.4974,-116.041,ELEMENTARY,K-3,TRUE,FALSE
2011/2012,BC Public School,6,Rocky Mountain,604015,David Thompson Secondary,Standard,1535 14th St Unit 1 RR 4,Invermere,BC,V0A1K4,250 342-9213,250 342-4499,50.5019,-116.041,SECONDARY,12-Aug,FALSE,TRUE
2011/2012,BC Public School,6,Rocky Mountain,606000,Continuing Ed SD 06,Continuing Ed,1850 Warren Ave,Kimberley,BC,V1A1S1,250 427-5308,250 427-2071,49.6712,-115.98,JUNIOR SECONDARY,12-Aug,FALSE,TRUE
2011/2012,BC Public School,6,Rocky Mountain,606017,McKim Middle School,Standard,689 Rotary Dr,Kimberley,BC,V1A1E4,250 427-2283,250 427-1683,49.6795,-115.979,ELEMENTARY,07-Apr,TRUE,FALSE
2011/2012,BC Public School,6,Rocky Mountain,618003,Lady Grey Elementary,Standard,620 South 9th Ave,Golden,BC,V0A1H0,250 344-6317,250 344-7382,51.2957,-116.971,ELEMENTARY,07-Apr,TRUE,FALSE
2011/2012,BC Public School,6,Rocky Mountain,618005,Golden Secondary,Standard,1500 9th St South,Golden,BC,V0A1H0,250 344-2201,250 344-7116,51.2969,-116.951,SECONDARY,12-Aug,FALSE,TRUE
2011/2012,BC Public School,6,Rocky Mountain,618006,Field Elementary,Standard,201 Kicking Horse Rd,Field,BC,V0A1G0,250 343-6416,250 343-6455,51.3968,-116.487,ELEMENTARY,K-3,TRUE,FALSE
2011/2012,BC Public School,6,Rocky Mountain,618007,Nicholson Elementary,Standard,737 Nicholson Frontage Rd,Golden,BC,V0A1H0,250 344-2370,250 344-2318,51.2473,-116.91,ELEMENTARY,K-7,TRUE,FALSE
2011/2012,BC Public School,6,Rocky Mountain,618008,Alexander Park Elementary,Standard,1000  14th Ave,Golden,BC,V0A1H0,250 344-5513,250 344-6646,51.2919,-116.963,ELEMENTARY,K-3,TRUE,FALSE
2011/2012,BC Public School,6,Rocky Mountain,699069,Golden Alternate School,Alternate,1019 15th St South,Golden,BC,V0A1H0,250 344-4532,250 344-4705,51.2951,-116.953,SECONDARY,12-Aug,FALSE,TRUE
2011/2012,BC Public School,6,Rocky Mountain,699086,Kimberley Alternate School,Alternate,570 Mark St,Kimberley,BC,V1A2B8,250 427-5371,250 427-7106,49.6821,-115.98,SECONDARY,12-Aug,FALSE,TRUE
2011/2012,BC Public School,6,Rocky Mountain,699127,Open Doors Alternate Education,Alternate,214 - 7th Ave,Invermere,BC,V0A1K0,250 342-3060,250 342-7298,51.293,-116.967,SECONDARY,12-Aug,FALSE,TRUE
2011/2012,BC Public School,6,Rocky Mountain,699157,Rocky Mountain Distributed Learning Sch,District Distance Ed,1850 Warren Ave,Kimberley,BC,V1A1S1,250 427-5308,250 427-2071,49.6712,-115.98,SECONDARY,K-12,TRUE,TRUE
2011/2012,BC Public School,8,Kootenay Lake,807004,Hume Elementary School,Standard,310 Nelson Ave,Nelson,BC,V1L2M8,250 352-3186,250 352-3183,49.5008,-117.28,ELEMENTARY,K-5,TRUE,FALSE
2011/2012,BC Public School,8,Kootenay Lake,807005,Trafalgar Middle School,Standard,1201 Josephine St,Nelson,BC,V1L1X8,250 352-5591,250 352-6522,49.4871,-117.288,MIDDLE SCHOOL,08-Jun,TRUE,TRUE
